,digraph,inter-key,uut,ddt
87,bo,40.064,100.144,140.2112
88,or,110.1568,220.3168,170.24
89,ra,50.0736,130.1872,160.2304
90,at,100.1472,210.3024,180.2624
91,to,50.0736,130.1872,160.2304
92,or,50.0736,150.216,130.1888
93,ry,60.096,110.1584,160.2304
95,gr,90.1376,190.2736,210.304
96,re,-50.0736,70.1008,50.0736
97,ey,150.2208,220.3168,270.3872
98,yc,90.1376,180.2592,160.2304
99,cl,460.6592,530.7632,550.784
100,la,70.1056,160.2304,140.2112
101,ab,170.2528,260.3744,260.3776
102,bo,50.0736,120.1728,140.1984
103,or,50.0736,150.216,120.1664
104,ra,70.1056,160.2304,170.2528
105,at,90.1248,190.2736,180.2496
106,to,70.1056,160.2304,170.2528
107,or,120.1792,220.3168,210.304
108,ry,50.0736,110.1584,150.208
110,gr,140.1984,250.36,220.3136
111,re,-40.0512,80.1152,70.1056
112,ey,20.032,90.1296,140.1984
113,yc,60.0832,160.2304,130.1888
114,cl,460.6592,530.7632,560.8064
115,la,20.032,120.1728,90.1248
116,ab,200.2816,290.4176,300.4288
117,bo,60.0832,130.1872,150.2208
118,or,70.0928,160.2304,140.1984
119,ra,70.0928,220.3168,160.2304
120,at,10.0096,110.1584,160.2304
121,to,40.064,120.1728,140.2112
122,or,30.0544,140.2016,110.1568
123,ry,90.1248,150.216,200.2816
125,gr,110.1568,230.3312,210.304
126,re,-50.0736,70.1008,70.1056
127,ey,70.1056,140.2016,190.272
128,yc,100.1344,200.288,170.24
129,cl,320.4608,400.576,420.608
130,la,70.1056,190.2736,150.2208
131,ab,180.2624,280.4032,300.4288
132,bo,50.0736,120.1728,150.2208
133,or,70.1056,160.2304,140.1984
134,ra,50.0736,150.216,140.1984
135,at,120.1664,210.3024,220.3136
136,to,20.0192,120.1728,110.1568
137,or,120.1792,190.2736,220.3264
138,ry,90.1376,170.2448,160.2304
140,gr,110.1568,200.288,200.2816
141,re,-30.0544,90.1296,60.0832
142,ey,0.0,70.1008,120.1792
143,yc,90.1248,180.2592,160.2304
144,cl,360.5248,420.6048,450.6496
145,la,50.0736,160.2304,110.1568
146,ab,180.2624,280.4032,290.4192
147,bo,60.0832,130.1872,160.2304
148,or,80.1024,190.2736,150.208
149,ra,60.0832,200.288,170.2528
150,at,30.0416,120.1728,170.24
151,to,20.0192,100.144,110.1568
152,or,70.1056,170.2448,150.2208
153,ry,60.0832,120.1728,160.2304
155,gr,90.1376,190.2736,190.272
156,re,-50.0736,70.1008,50.0736
157,ey,50.0736,140.2016,170.24
158,yc,40.064,140.2016,130.1888
159,cl,290.4192,360.5184,390.5664
160,la,70.1056,190.2736,140.1984
161,ab,160.2304,260.3744,280.3968
162,bo,70.1056,140.2016,170.2528
163,or,50.0736,140.2016,120.1664
164,ra,50.0608,150.216,140.1984
165,at,90.1248,160.2304,190.272
166,to,20.032,90.1296,90.1376
167,or,80.128,170.2448,150.2208
168,ry,70.1056,150.216,160.2304
170,gr,130.1888,220.3168,210.304
171,re,-30.0416,70.1008,60.0832
172,ey,20.0192,100.144,120.1664
173,yc,100.1472,190.2736,180.2624
174,cl,360.5248,440.6336,450.6496
175,la,60.0832,190.2736,140.1984
176,ab,160.2304,260.3744,290.4192
177,bo,40.0512,110.1584,140.1984
178,or,80.1152,170.2448,150.2208
179,ra,50.0736,160.2304,140.1984
180,at,90.1376,170.2448,200.2944
181,to,20.0192,100.144,100.1344
182,or,50.0736,140.2016,130.1888
183,ry,80.1152,130.1872,170.2528
185,gr,120.1664,210.3024,190.272
186,re,-40.064,70.1008,50.0736
187,ey,70.1056,140.2016,180.2624
188,yc,70.0928,150.216,140.1984
189,cl,300.4416,370.5328,380.5568
190,la,50.0736,140.2016,120.1664
191,ab,220.3264,320.4608,310.4512
192,bo,20.032,120.1728,120.1664
193,or,40.0512,130.1872,140.1984
194,ra,70.0928,190.2736,160.2304
195,at,100.1472,170.2448,220.3264
196,to,30.0416,120.1728,100.1344
197,or,70.0928,170.2448,160.2304
198,ry,40.064,110.1584,140.2112
200,gr,120.1792,210.3024,210.304
201,re,-30.0416,80.1152,60.0832
202,ey,10.0224,100.144,120.1792
203,yc,80.1152,180.2592,170.24
204,cl,450.6496,530.7632,550.7968
205,la,60.0832,170.2448,140.1984
206,ab,240.3456,330.4752,350.5024
207,bo,60.096,130.1872,150.2208
208,or,70.1056,170.2448,140.1984
209,ra,40.0512,150.216,140.1984
210,at,70.1056,160.2304,180.2624
211,to,10.0224,90.1296,100.1472
212,or,90.1248,180.2592,170.24
213,ry,90.1376,160.2304,180.2624
215,gr,100.1472,200.288,190.2848
216,re,-50.0608,70.1008,50.0736
217,ey,20.032,110.1584,140.1984
218,yc,50.0736,140.2016,140.1984
219,cl,310.4512,390.5616,400.576
220,la,40.064,140.2016,120.1792
221,ab,210.304,300.432,310.4384
222,bo,30.0544,100.144,120.1792
223,or,70.1056,170.2448,140.1984
224,ra,70.0928,180.2592,170.24
225,at,70.1056,170.2448,180.2624
226,to,20.0192,90.1296,120.1664
227,or,100.1472,200.288,170.2528
228,ry,40.0512,90.1296,140.1984
230,gr,110.1568,190.2736,200.2816
231,re,-30.0416,70.1008,50.0736
232,ey,10.0096,90.1296,110.1568
233,yc,70.1056,170.2448,150.2208
234,cl,310.4384,380.5472,410.5856
235,la,40.064,140.2016,110.1696
236,ab,170.2528,260.3744,270.3872
237,bo,30.0416,90.1296,120.1664
238,or,100.1472,180.2592,160.2304
239,ra,50.0736,150.216,130.1888
240,at,70.0928,160.2304,170.24
241,to,20.032,100.144,110.1696
242,or,70.1056,150.216,150.208
243,ry,80.1152,150.216,160.2304
245,gr,120.1664,210.3024,220.3136
246,re,-50.0736,70.1008,40.064
247,ey,150.2208,240.3456,270.3872
248,yc,90.1376,190.2736,180.2624
249,cl,360.5248,430.6192,460.6592
250,la,60.0832,160.2304,130.1888
251,ab,210.2912,310.4464,310.4384
252,bo,20.032,120.1728,120.1792
253,or,50.0736,140.2016,150.2208
254,ra,70.1056,160.2304,160.2304
255,at,70.1056,170.2448,160.2304
256,to,20.032,120.1728,120.1664
257,or,70.1056,170.2448,170.2528
258,ry,40.064,110.1584,140.1984
260,gr,140.1984,250.36,240.3456
261,re,-50.0736,70.1008,60.0832
262,ey,20.0192,100.144,140.1984
263,yc,80.1024,210.3024,160.2304
264,cl,160.2304,270.3888,290.4192
265,la,10.0096,120.1728,120.1792
266,ab,190.272,320.4608,300.4288
267,bo,40.064,120.1728,170.2528
268,or,70.1056,180.2592,150.208
269,ra,50.0736,160.2304,160.2304
270,at,70.1056,160.2304,180.2624
271,to,20.032,120.1728,110.1568
272,or,60.0832,160.2304,160.2304
273,ry,50.0736,120.1728,150.2208
275,gr,100.1472,200.288,190.272
276,re,-50.0736,70.1008,50.0608
277,ey,50.0736,120.1728,170.2528
278,yc,60.0832,160.2304,130.1888
279,cl,310.4384,380.5472,410.5856
280,la,70.0928,190.2736,140.1984
281,ab,190.272,280.4032,310.4512
282,bo,50.0736,120.1728,140.1984
283,or,70.0928,150.216,140.1984
284,ra,70.0928,160.2304,150.2208
285,at,120.1664,160.2304,210.304
286,to,80.1024,170.2448,120.1664
287,or,220.3136,290.4176,310.4512
288,ry,60.0832,130.1872,130.1888
290,gr,130.1888,230.3312,220.3136
291,re,-40.064,90.1296,60.0832
292,ey,30.0416,100.144,160.2304
293,yc,110.1568,260.3744,180.2624
294,cl,200.2816,290.4176,350.5024
295,la,50.0736,160.2304,140.1984
296,ab,190.2848,300.432,300.4416
297,bo,50.0736,140.2016,160.2304
298,or,90.1248,210.3024,180.2496
299,ra,60.0832,170.2448,180.2624
300,at,70.1056,190.2736,180.2624
301,to,50.0736,140.2016,170.24
302,or,60.0832,170.2448,150.2208
303,ry,70.0928,130.1872,180.2496
305,gr,120.1664,240.3456,210.304
306,re,-50.0736,60.0864,70.1056
307,ey,120.1664,200.288,230.3232
308,yc,90.1376,210.3024,170.2528
309,cl,170.2528,240.3456,290.4192
310,la,40.064,140.2016,110.1568
311,ab,190.272,280.4032,290.4192
312,bo,50.0736,120.1728,140.1984
313,or,80.128,160.2304,150.2208
314,ra,50.0736,150.216,130.176
315,at,90.1376,170.2448,190.2848
316,to,20.032,120.1728,100.1344
317,or,90.1248,190.2736,190.272
318,ry,40.064,110.1584,140.2112
320,gr,120.1664,220.3168,220.3136
321,re,-50.0736,70.1008,50.0736
322,ey,40.064,110.1584,160.2304
323,yc,70.0928,220.3168,140.1984
324,cl,140.1984,230.3312,290.4192
325,la,30.0416,150.216,120.1792
326,ab,180.2624,280.4032,300.4288
327,bo,50.0736,120.1728,150.2208
328,or,70.1056,170.2448,140.1984
329,ra,20.032,140.2016,120.1664
330,at,140.1984,250.36,260.3776
331,to,150.2208,240.3456,260.3776
332,or,150.2208,260.3744,240.3456
333,ry,70.0928,140.2016,180.2496
335,gr,90.1376,200.288,190.272
336,re,-30.0416,80.1152,80.1152
337,ey,20.032,100.144,130.1888
338,yc,50.0736,180.2592,130.1888
339,cl,140.2112,250.36,270.3872
340,la,0.0,110.1584,110.1568
341,ab,200.2816,320.4608,310.4384
342,bo,40.0512,150.216,160.2304
343,or,60.0832,170.2448,170.2528
344,ra,40.0512,150.216,150.208
345,at,70.0928,170.2448,180.2624
346,to,80.1152,170.2448,180.2624
347,or,350.5024,450.648,440.6272
348,ry,20.032,90.1296,120.1792
350,gr,100.1472,210.3024,200.2944
351,re,-40.064,50.072,70.0928
352,ey,70.0928,150.216,160.2304
353,yc,70.1056,180.2592,150.2208
354,cl,190.272,290.4176,300.4288
355,la,0.0,120.1728,100.1472
356,ab,170.2528,250.36,290.4192
357,bo,80.1152,150.216,160.2304
358,or,70.0928,160.2304,140.1984
359,ra,50.0608,170.2448,140.1984
360,at,70.0928,170.2448,190.272
361,to,40.064,140.2016,140.2112
362,or,70.0928,160.2304,170.24
363,ry,100.1344,150.216,190.272
365,gr,100.1472,220.3168,220.3136
366,re,-40.064,60.0864,80.1152
367,ey,60.0832,130.1872,160.2304
368,yc,60.0832,190.2736,130.1888
369,cl,180.2496,300.432,310.4384
370,la,0.0,140.2016,120.1792
371,ab,180.2624,310.4464,320.4608
372,bo,60.0832,140.2016,190.272
373,or,90.1248,190.2736,170.24
374,ra,60.0832,150.216,160.2304
375,at,80.1152,200.288,170.2528
376,to,10.0224,120.1728,130.1888
377,or,70.0928,180.2592,180.2496
378,ry,40.0512,110.1584,150.2208
380,gr,120.1664,220.3168,230.3232
381,re,110.1568,200.288,210.304
382,ey,60.0832,120.1728,150.2208
383,yc,60.0832,190.2736,120.1664
384,cl,260.3776,330.4752,390.5664
385,la,90.1248,220.3168,160.2304
386,ab,40.064,110.1584,170.2528
387,bo,190.272,270.3888,260.3648
388,or,80.1152,210.3024,160.2304
389,ra,0.0,120.1728,130.1888
390,at,120.1664,280.4032,240.3456
391,to,290.4192,370.5328,450.6496
392,or,100.1472,230.3312,180.2624
393,ry,80.1152,140.2016,210.304
395,gr,110.1568,210.3024,200.2816
396,re,90.1248,190.2736,190.272
397,ey,70.1056,140.2016,170.2528
398,yc,50.0736,170.2448,120.1664
399,cl,210.304,310.4464,330.4832
400,la,20.032,160.2304,120.1664
401,ab,50.0736,120.1728,190.272
402,bo,190.272,280.4032,260.3776
403,or,50.0736,170.2448,140.1984
404,ra,20.0192,140.2016,140.1984
405,at,150.2208,270.3888,270.4
406,to,60.0832,130.1872,180.2496
407,or,80.1152,200.288,150.2208
408,ry,70.0928,140.2016,190.272
410,gr,100.1472,180.2592,220.3136
411,re,110.1568,210.3024,190.272
412,ey,30.0416,80.1152,130.1888
413,yc,80.1152,210.3024,130.1888
414,cl,200.2816,270.3888,330.4704
415,la,60.0832,180.2592,130.1888
416,ab,40.0512,100.144,160.2304
417,bo,210.304,270.3888,270.3872
418,or,20.0192,150.216,80.1152
419,ra,20.032,120.1728,150.2208
420,at,120.1664,240.3456,220.3136
421,to,60.0832,130.1872,180.2624
422,or,130.176,250.36,200.2816
423,ry,80.1152,140.2016,200.2944
425,gr,120.1664,210.3024,230.336
426,re,120.1792,200.288,210.304
427,ey,20.032,90.1296,100.1472
428,yc,140.2112,230.3312,210.304
429,cl,270.3872,340.4896,360.512
430,la,120.1664,240.3456,190.272
431,ab,10.0096,90.1296,130.1888
432,bo,210.304,280.4032,290.4192
433,or,100.1344,200.288,170.24
434,ra,90.1248,200.288,190.272
435,at,120.1664,240.3456,230.336
436,to,100.1344,170.2448,220.3136
437,or,20.032,170.2448,90.1376
438,ry,90.1376,130.1872,240.3456
440,gr,110.1568,200.288,230.3232
441,re,150.208,280.4032,240.3456
442,ey,10.0096,80.1152,140.1984
443,yc,110.1568,230.3312,180.2624
444,cl,190.272,260.3744,310.4512
445,la,50.0736,180.2592,120.1664
446,ab,60.0832,130.1872,190.272
447,bo,190.272,250.36,260.3776
448,or,50.0736,180.2592,110.1568
449,ra,0.0,100.144,130.1888
450,at,130.1888,260.3744,230.336
451,to,170.24,250.36,300.4288
452,or,120.1664,230.3312,200.2816
453,ry,60.0832,130.1872,170.2528
455,gr,120.1792,220.3168,230.336
456,re,90.1248,190.2736,190.272
457,ey,20.032,100.144,120.1792
458,yc,110.1568,230.3312,190.272
459,cl,190.272,290.4176,310.4384
460,la,70.1056,190.2736,170.2528
461,ab,50.0736,120.1728,170.24
462,bo,180.2624,250.36,250.368
463,or,70.1056,170.2448,140.1984
464,ra,50.0736,140.2016,150.208
465,at,120.1664,240.3456,210.304
466,to,40.0512,140.2016,160.2304
467,or,100.1472,220.3168,200.2944
468,ry,70.1056,140.2016,190.272
470,gr,120.1792,210.3024,220.3136
471,re,100.1472,190.2736,190.272
472,ey,60.0832,130.1872,150.2208
473,yc,50.0736,170.2448,120.1664
474,cl,260.3648,340.4896,380.544
475,la,120.1664,250.36,200.2944
476,ab,0.0,70.1008,130.1888
477,bo,180.2496,250.36,250.3552
478,or,30.0416,140.2016,100.1472
479,ra,20.032,100.144,130.1888
480,at,120.1664,230.3312,200.2816
481,to,50.0736,120.1728,160.2304
482,or,60.0832,170.2448,130.1888
483,ry,70.1056,130.1872,180.2624
485,gr,150.2208,220.3168,270.3872
486,re,110.1696,180.2592,180.2624
487,ey,70.1056,150.216,140.1984
488,yc,90.1248,190.2736,170.24
489,cl,250.3552,330.4752,350.5024
490,la,160.2304,280.4032,240.3456
491,ab,80.1152,120.1728,200.2944
492,bo,190.272,270.3888,230.3232
493,or,40.064,130.1872,120.1792
494,ra,0.0,120.1728,90.1248
495,at,150.208,290.4176,270.3872
496,to,70.0928,140.2016,210.304
497,or,90.1248,190.2736,160.2304
498,ry,70.1056,120.1728,170.2528
500,gr,120.1792,200.288,230.336
501,re,120.1792,210.3024,200.2816
502,ey,30.0544,90.1296,120.1792
503,yc,130.1888,260.3744,190.272
504,cl,220.3136,280.4032,350.5024
505,la,50.0736,160.2304,110.1568
506,ab,80.1152,160.2304,190.272
507,bo,190.272,260.3744,270.3872
508,or,100.1472,190.2736,170.2528
509,ra,50.0736,140.2016,140.1984
510,at,140.1984,270.3888,230.3232
511,to,190.272,260.3744,320.4608
512,or,490.7008,590.8496,560.8064
513,ry,-10.0096,40.0576,90.1376
515,gr,100.1472,190.2736,210.304
516,re,100.1472,190.2736,190.272
517,ey,0.0,80.1152,90.1248
518,yc,70.1056,190.2736,150.2208
519,cl,280.3968,370.5328,400.576
520,la,50.0736,170.2448,140.1984
521,ab,50.0736,120.1728,170.2528
522,bo,520.7552,590.8496,590.848
523,or,110.1568,210.3024,180.2496
524,ra,50.0736,140.2016,150.2208
525,at,120.1664,270.3888,210.304
526,to,140.1984,210.3024,290.4192
527,or,260.3648,380.5472,330.4704
528,ry,70.0928,170.2448,190.272
530,gr,110.1568,180.2592,220.3264
531,re,110.1696,200.288,180.2624
532,ey,60.0832,120.1728,150.208
533,yc,40.064,160.2304,100.1472
534,cl,290.4192,360.5184,410.5856
535,la,50.0736,180.2592,120.1792
536,ab,40.0512,100.144,170.24
537,bo,200.2944,280.4032,260.3776
538,or,110.1568,230.3312,190.272
539,ra,80.128,190.2736,200.2944
540,at,290.4064,400.576,400.5632
541,to,130.1888,200.288,240.3584
542,or,230.336,340.4896,300.4288
543,ry,40.0512,100.144,150.208
545,gr,120.1792,210.3024,220.3136
546,re,120.1792,220.3168,210.304
547,ey,20.0192,70.1008,120.1664
548,yc,110.1568,210.3024,160.2304
549,cl,240.3456,310.4464,340.4928
550,la,100.1344,210.3024,170.24
551,ab,50.0608,120.1728,160.2304
552,bo,170.24,240.3456,240.3456
553,or,20.032,140.2016,90.1376
554,ra,30.0416,120.1728,150.208
555,at,110.1568,260.3744,200.2944
556,to,50.0736,120.1728,200.2816
557,or,40.0512,140.2016,110.1568
558,ry,140.2112,220.3168,240.3584
560,gr,120.1792,200.288,220.3264
561,re,100.1344,190.2736,180.2496
562,ey,40.0512,100.144,130.1888
563,yc,110.1696,220.3168,170.2528
564,cl,240.3456,310.4464,350.5024
565,la,70.1056,200.288,140.1984
566,ab,30.0416,100.144,160.2304
567,bo,190.272,260.3744,260.3776
568,or,20.032,130.1872,90.1248
569,ra,0.0,80.1152,110.1568
570,at,160.2304,270.3888,240.3456
571,to,50.0736,120.1728,160.2304
572,or,100.1472,220.3168,170.2528
573,ry,70.1056,130.1872,190.272
575,gr,130.1888,200.288,230.3232
576,re,120.1664,200.288,190.272
577,ey,20.0192,90.1296,100.1472
578,yc,120.1664,240.3456,190.272
579,cl,260.3776,330.4752,380.5568
580,la,20.032,140.2016,90.1248
581,ab,100.1344,150.216,220.3136
582,bo,180.2624,250.36,230.336
583,or,30.0544,120.1728,100.1472
584,ra,20.032,120.1728,110.1568
585,at,140.1984,260.3744,240.3456
586,to,100.1472,190.2736,220.3136
587,or,90.1376,210.3024,180.2624
588,ry,80.1152,150.216,200.2816
590,gr,120.1664,190.2736,210.2912
591,re,100.1472,200.288,170.2528
592,ey,60.0832,110.1584,160.2304
593,yc,90.1248,200.288,140.1984
594,cl,240.3456,310.4464,350.5024
595,la,30.0416,160.2304,100.1472
596,ab,50.0736,110.1584,180.2624
597,bo,170.24,230.3312,230.3232
598,or,40.0512,150.216,100.1472
599,ra,30.0416,130.1872,140.1984
600,at,90.1248,200.288,190.272
601,to,90.1248,170.2448,200.2944
602,or,20.032,150.216,100.1472
603,ry,80.1024,140.2016,210.2912
605,gr,120.1664,210.3024,200.2816
606,re,120.1664,190.2736,210.304
607,ey,70.0928,110.1584,140.1984
608,yc,120.1664,240.3456,160.2304
609,cl,220.3136,290.4176,340.4928
610,la,50.0736,140.2016,120.1792
611,ab,90.1248,170.2448,180.2496
612,bo,160.2304,230.3312,240.3456
613,or,30.0416,150.216,100.1472
614,ra,0.0,120.1728,120.1792
615,at,130.1888,280.4032,250.3552
616,to,90.1248,170.2448,240.3456
617,or,40.0512,160.2304,120.1664
618,ry,90.1248,140.2016,210.304
620,gr,110.1568,180.2592,210.304
621,re,110.1568,200.288,180.2624
622,ey,70.1056,110.1584,160.2304
623,yc,90.1248,220.3168,130.1888
624,cl,210.304,280.4032,340.4928
625,la,50.0736,170.2448,120.1664
626,ab,30.0416,90.1296,150.2208
627,bo,180.2624,240.3456,240.3456
628,or,40.064,150.216,100.1472
629,ra,0.0,100.144,110.1568
630,at,140.1984,250.36,240.3456
631,to,30.0416,120.1728,140.1984
632,or,50.0736,160.2304,140.1984
633,ry,80.1152,130.1872,190.272
635,gr,120.1792,190.2736,220.3136
636,re,120.1792,220.3168,190.272
637,ey,20.0192,90.1296,120.1664
638,yc,90.1248,210.3024,160.2304
639,cl,220.3136,310.4464,340.4928
640,la,20.0192,140.2016,110.1568
641,ab,50.0736,120.1728,170.2528
642,bo,190.272,260.3744,260.3648
643,or,20.032,120.1728,90.1376
644,ra,20.0192,120.1728,120.1664
645,at,170.24,280.4032,270.3872
646,to,70.1056,140.2016,180.2624
647,or,80.1152,190.2736,150.2208
648,ry,80.1152,150.216,190.272
650,gr,110.1568,180.2592,210.2912
651,re,100.1472,180.2592,170.2528
652,ey,50.0736,110.1584,130.1888
653,yc,80.1152,200.288,140.1984
654,cl,210.2912,270.3888,330.4704
655,la,40.0512,160.2304,100.1472
656,ab,30.0416,80.1152,150.2208
657,bo,160.2304,230.3312,210.304
658,or,20.032,120.1728,90.1248
659,ra,30.0416,120.1728,130.1888
660,at,110.1568,220.3168,200.2816
661,to,50.0736,110.1584,160.2304
662,or,60.0832,170.2448,120.1792
663,ry,60.0832,120.1728,170.24
665,gr,120.1792,190.2736,190.272
666,re,120.1664,210.3024,190.272
667,ey,70.1056,150.216,160.2304
668,yc,40.0512,160.2304,120.1664
669,cl,260.3776,330.4752,380.5568
670,la,30.0416,150.216,100.1344
671,ab,70.1056,140.2016,190.2848
672,bo,140.2112,210.3024,210.304
673,or,30.0416,140.2016,100.1344
674,ra,20.032,120.1728,130.1888
675,at,120.1664,260.3744,220.3136
676,to,50.0736,150.216,190.2848
677,or,50.0736,160.2304,150.208
678,ry,70.1056,120.1728,180.2624
680,gr,90.1376,220.3168,220.3136
681,re,240.3456,420.6048,370.5344
682,ey,370.5344,500.72,550.784
683,yc,290.4192,390.5616,420.608
685,la,180.2496,290.4176,290.4192
687,bo,90.1248,190.2736,160.2304
688,or,150.2208,220.3168,250.368
689,ra,370.5344,460.6624,440.6272
690,at,270.3872,370.5328,360.5248
691,to,260.3776,380.5472,360.512
692,or,280.3968,380.5472,400.576
693,ry,220.3136,310.4464,320.4608
695,gr,20.0192,160.2304,180.2496
698,yc,330.4832,420.6048,400.576
699,cl,310.4512,430.6192,400.576
700,la,40.064,140.2016,160.2304
702,bo,150.2208,270.3888,220.3264
703,or,90.1376,130.1872,210.304
704,ra,360.512,460.6624,400.5632
705,at,180.2624,300.432,280.4096
706,to,170.24,290.4176,290.4192
707,or,190.2848,290.4176,310.4512
708,ry,210.304,320.4608,310.4384
710,gr,240.3456,340.4896,360.512
711,re,280.4096,370.5328,380.5568
712,ey,140.1984,270.3888,230.3232
713,yc,310.4512,420.6048,440.64
715,la,230.336,330.4752,350.5152
716,ab,270.4,350.504,370.5344
717,bo,120.1792,230.3312,200.2816
718,or,110.1568,150.216,220.3136
719,ra,360.512,460.6624,400.576
720,at,300.4288,380.5472,400.576
721,to,110.1568,230.3312,190.272
722,or,160.2304,250.36,280.4096
723,ry,200.2944,290.4176,290.4192
725,gr,120.1792,240.3456,260.3776
727,ey,160.2304,280.4032,260.3776
728,yc,240.3456,360.5184,360.5248
731,ab,290.4192,410.5904,410.5856
732,bo,260.3648,380.5472,380.544
733,or,160.2304,280.4032,280.4096
734,ra,160.2304,280.4032,280.3968
735,at,220.3136,340.4896,340.4928
736,to,420.5952,520.7488,540.7744
737,or,240.3456,330.4752,340.4928
738,ry,310.4384,400.576,400.576
740,gr,40.0512,190.2736,180.2624
741,re,110.1568,230.3312,260.3776
742,ey,190.272,290.4176,310.4384
743,yc,50.0736,120.1728,150.2208
745,la,180.2624,280.4032,290.4192
747,bo,360.512,450.648,440.6272
748,or,170.24,300.432,260.3776
749,ra,120.1664,230.3312,250.3552
750,at,320.4608,460.6624,430.6176
751,to,130.1888,280.4032,270.4
752,or,150.2208,250.36,300.4288
753,ry,250.3552,350.504,350.5024
755,gr,0.0,190.2736,160.2304
756,re,50.0736,200.288,240.3456
757,ey,230.336,350.504,380.544
758,yc,50.0736,140.2016,170.24
759,cl,390.5536,470.6768,480.6912
760,la,70.1056,170.2448,150.2208
761,ab,410.5856,500.72,510.7328
762,bo,70.1056,190.2736,160.2304
763,or,90.1248,240.3456,210.304
764,ra,50.0608,140.2016,200.2816
765,at,90.1248,210.3024,180.2624
766,to,90.1248,190.2736,210.304
767,or,220.3136,310.4464,320.4608
768,ry,310.4512,380.5472,400.576
770,gr,360.5248,500.72,500.7232
771,re,110.1568,200.288,250.3552
772,ey,140.1984,250.36,230.336
773,yc,20.032,120.1728,130.1888
774,cl,310.4384,420.6048,410.5856
775,la,70.1056,180.2592,180.2624
776,ab,260.3776,370.5328,370.5344
777,bo,130.1888,240.3456,240.3456
778,or,150.208,250.36,260.3648
779,ra,440.64,570.8208,540.7872
780,at,210.304,310.4464,340.4928
781,to,60.096,190.2736,160.2304
782,or,50.0736,160.2304,180.2496
783,ry,170.2528,270.3888,280.4096
785,gr,-30.0416,140.2016,190.272
786,re,-20.032,120.1728,150.208
787,ey,190.272,280.4032,330.4832
788,yc,30.0416,120.1728,120.1664
790,la,120.1664,230.3312,220.3136
791,ab,220.3136,310.4464,330.4832
792,bo,150.2208,260.3744,240.3456
793,or,50.0736,190.2736,160.2304
794,ra,70.1056,190.2736,210.304
795,at,140.2112,260.3744,260.3776
796,to,140.1984,280.4032,260.3648
