,digraph,inter-key,uut,ddt
264,ho,-24,48,71
265,ol,97,186,169
266,ld,0,79,89
267,do,65,168,144
268,on,-24,96,79
269,nt,96,185,216
270,to,0,87,89
271,ot,64,136,151
272,th,1,88,73
273,he,-24,56,63
274,ej,249,352,329
275,jo,-24,80,79
276,ob,16,104,120
277,bu,120,208,208
278,un,112,200,200
279,nt,48,128,136
280,ti,56,200,136
281,il,-72,72,72
282,ly,304,392,448
283,yo,73,185,161
284,ou,-32,55,80
285,ur,153,248,240
286,re,-48,48,47
287,et,48,136,144
288,th,-24,80,64
289,he,-32,40,72
290,eo,80,161,152
291,ol,88,208,169
292,ld,-48,31,72
293,dg,105,224,184
294,gu,-79,0,40
295,uy,96,176,175
296,yg,1112,1184,1192
297,gr,176,304,248
298,re,-56,48,72
299,et,65,176,169
300,ta,640,728,751
301,at,0,88,88
302,tw,176,256,264
303,wh,0,88,80
304,ha,25,96,113
305,at,1,80,72
306,it,152,248,256
307,tw,216,376,312
308,wa,8,104,168
309,as,217,321,313
310,st,280,375,384
311,ts,1472,1560,1567
312,st,616,704,704
313,th,72,168,160
314,he,16,120,112
315,eb,216,328,320
316,be,0,96,112
317,es,240,328,336
318,st,1081,1128,1169
319,to,288,416,335
320,of,112,224,240
321,ft,616,736,728
322,ti,0,120,120
323,im,112,264,232
324,me,120,216,272
325,es,112,216,208
326,si,1112,1257,1216
327,it,39,119,184
328,tw,296,456,376
329,wa,0,97,160
330,as,255,351,352
331,st,280,400,376
332,th,48,184,168
333,he,32,176,168
334,ew,552,696,696
335,wo,104,216,248
336,or,56,152,168
337,rs,192,264,288
338,st,176,280,248
339,to,888,984,992
340,of,64,168,160
341,ft,416,568,520
342,ti,40,152,192
343,im,104,232,216
344,me,0,80,128
345,es,120,232,200
346,si,9320,9433,9432
347,it,111,207,224
348,tw,216,368,312
349,wa,-24,88,128
350,as,136,232,248
351,st,192,320,288
352,th,24,144,152
353,he,8,112,128
354,ea,248,352,352
355,ag,160,224,264
356,ge,49,160,113
357,eo,424,520,535
358,of,336,400,432
359,fw,336,440,400
360,wi,16,96,120
361,is,88,160,168
362,sd,160,248,232
363,do,128,312,216
364,om,80,184,264
365,mi,1280,1400,1384
366,it,80,200,200
367,tw,216,368,336
368,wa,-16,128,136
369,as,160,240,304
370,st,272,368,352
371,th,25,144,121
372,he,0,112,119
373,ea,192,312,304
374,ag,96,192,216
375,ge,0,96,96
376,eo,248,360,344
377,of,528,600,640
378,fo,1352,1416,1424
379,fo,64,128,168
380,ol,352,488,416
381,ol,208,344,248
382,li,-24,144,112
383,in,168,400,336
384,ns,2112,2217,2344
385,sh,0,119,105
386,hn,144,216,263
387,ne,80,153,152
388,es,151,239,224
389,si,2929,3064,3017
390,si,2752,2887,2832
391,it,24,168,159
392,tw,336,496,480
393,wa,400,480,560
394,as,288,392,368
395,st,304,400,408
396,th,64,184,160
397,he,0,104,120
398,ep,1016,1088,1120
399,ep,136,208,224
400,po,128,208,200
401,oc,72,200,152
402,ch,16,112,144
403,ho,888,1000,984
404,of,128,248,240
405,ft,664,784,784
406,th,184,352,304
407,hb,1112,1232,1280
408,be,40,128,160
409,el,120,248,208
410,li,0,136,128
411,ie,56,136,192
412,ef,240,344,320
413,fi,992,1136,1096
414,it,96,224,240
415,tw,256,432,384
416,wa,-24,96,152
417,as,200,304,320
418,st,296,455,400
419,th,33,153,192
420,he,137,289,257
421,ep,983,1064,1135
422,ep,152,233,256
423,po,111,199,192
424,oc,128,241,216
425,ch,0,87,113
426,ho,320,426,407
427,of,86,198,192
428,fi,538,672,650
429,in,88,184,222
430,nc,248,320,344
431,cr,216,367,288
432,re,-24,89,127
433,ed,263,375,376
434,du,40,176,152
435,ui,-32,128,104
436,il,2304,2456,2464
437,li,-40,96,112
438,it,144,240,280
439,ty,40,136,136
440,yi,768,904,864
441,it,1296,1408,1432
442,tw,296,424,408
443,wa,0,80,128
444,as,144,224,224
445,st,248,408,328
446,th,136,264,296
447,he,152,264,280
448,es,1472,1592,1584
449,se,80,224,200
450,ea,24,120,168
451,as,368,456,464
452,so,144,256,232
453,on,904,992,1016
454,no,248,360,336
455,of,104,192,216
456,fl,256,384,344
457,li,-48,88,80
458,ig,72,176,208
459,gh,32,120,136
460,ht,312,408,400
461,ti,1617,1713,1713
462,it,1055,1127,1151
463,tw,576,712,648
464,wa,57,120,193
465,as,848,952,911
466,st,184,312,288
467,th,1,120,129
468,he,32,168,151
469,es,504,640,640
470,se,16,184,152
471,ea,16,160,184
472,as,200,336,344
473,so,56,192,192
474,on,80,152,216
475,ni,208,312,280
476,if,144,192,248
477,fo,842,960,890
478,of,152,256,270
479,fd,400,520,504
480,da,160,296,280
481,ar,120,192,256
482,rk,272,344,344
483,kn,144,248,216
484,ne,160,200,264
485,es,560,592,600
486,si,1944,2048,1976
487,si,1744,1848,1824
488,it,120,224,224
489,tw,360,544,464
490,wa,-24,104,160
491,as,136,232,264
492,st,288,400,384
493,th,40,179,152
494,he,29,189,168
495,es,1936,2056,2096
496,sp,232,336,352
497,pr,112,224,216
498,ri,16,152,128
499,in,32,128,168
500,ng,24,113,120
501,go,168,295,257
502,of,96,185,223
503,fl,343,519,432
504,lo,569,665,745
505,ov,104,240,200
506,ve,88,239,224
507,ei,1153,1296,1304
508,it,56,185,199
509,tw,311,471,440
510,wa,-32,72,128
511,as,160,248,264
512,st,528,632,616
513,th,48,168,152
514,he,16,120,136
515,ew,352,472,456
516,wi,1,128,121
517,in,24,136,151
518,nt,112,192,224
519,te,112,216,192
520,er,-32,88,72
521,ro,232,336,352
522,of,40,152,144
523,fd,696,784,808
524,de,104,184,192
525,es,104,224,184
526,sp,148,272,268
527,pa,88,192,212
528,ai,136,280,240
529,ir,32,120,176
530,rw,2816,2936,2904
531,we,0,96,120
532,eh,216,328,312
533,ha,32,112,144
534,ad,240,336,320
535,de,192,296,288
536,ev,184,280,288
537,vr,304,400,400
538,ry,288,392,384
539,yt,64,152,168
540,th,168,280,256
541,hi,-24,128,88
542,in,0,112,152
543,ng,56,168,168
544,ge,3345,3433,3457
545,er,136,256,224
546,ry,56,96,176
547,yt,112,192,152
548,th,0,112,80
549,hn,112,223,224
550,ni,1200,1281,1311
551,in,727,839,808
552,ng,48,128,160
553,gb,288,400,368
554,be,72,184,184
555,ef,352,408,464
556,fo,144,280,200
557,or,40,208,176
558,re,-72,80,96
559,eu,1592,1736,1744
560,us,456,560,600
561,sw,760,896,864
562,we,-16,128,120
563,eh,88,200,232
564,ha,0,88,112
565,ad,408,512,496
566,dn,360,464,464
567,no,160,272,264
568,ot,120,216,232
569,th,24,96,120
570,hi,-16,136,56
571,in,0,120,152
572,ng,0,96,120
573,gb,112,216,208
574,be,64,168,168
575,ef,216,312,320
576,fo,72,176,168
577,or,72,160,176
578,re,-39,80,49
579,eu,288,392,407
580,us,192,312,296
581,sw,1600,1752,1720
582,we,1,80,153
583,ew,600,712,679
584,we,0,112,112
585,er,152,272,264
586,re,-48,72,72
587,eg,344,424,464
588,go,32,144,112
589,oi,200,368,312
590,in,0,136,168
591,ng,144,224,280
592,gf,2745,2904,2825
593,fd,624,752,783
594,di,48,192,176
595,ir,64,200,208
596,re,-56,64,80
597,ec,241,368,361
598,ct,152,265,279
599,to,4047,4167,4160
600,to,24,144,160
601,oh,344,440,464
602,he,184,344,280
603,ea,0,152,160
604,av,312,440,464
605,ve,56,208,184
606,en,40,168,192
607,nw,2096,2248,2224
608,we,1,102,153
609,ew,1026,1122,1127
610,we,88,176,184
611,er,136,264,224
612,re,-56,80,72
613,ea,424,528,560
614,al,136,216,240
615,lg,568,696,648
616,lg,408,536,480
617,go,24,144,152
618,oi,432,584,552
619,in,48,152,200
620,ng,40,152,144
621,gd,937,1072,1049
622,di,641,761,776
623,ir,191,360,311
624,re,-57,79,112
625,ec,576,704,712
626,cl,153,232,281
627,lt,1216,1328,1295
628,th,1048,1184,1160
629,th,584,720,656
630,ht,48,112,184
631,te,760,872,824
632,eo,464,568,576
633,ot,56,160,160
634,th,0,96,104
635,he,64,224,160
636,er,-56,80,104
637,rw,480,536,616
638,wa,744,848,800
639,ay,40,120,144
640,ih,119,199,215
641,ha,9,56,89
642,av,32,121,79
643,ve,0,79,89
644,et,64,177,143
645,to,-41,56,72
646,om,87,159,184
647,ma,1,56,73
648,ak,24,121,79
649,ke,0,63,97
650,et,88,168,151
651,th,-48,40,32
652,hi,240,312,328
653,is,32,104,104
654,su,120,233,192
655,up,-81,47,32
656,pm,128,208,256
657,my,129,216,209
658,ys,24,81,111
659,se,103,159,160
660,el,0,96,56
661,lf,0,56,96
662,fs,209,305,265
663,so,15,95,111
664,oi,152,224,232
665,iv,256,312,328
666,ve,0,72,56
667,eb,152,240,224
668,be,0,48,88
669,en,168,257,216
670,en,0,89,88
671,ng,992,1056,1081
672,ge,24,121,88
673,et,0,47,97
674,ti,264,368,311
675,ti,120,224,200
676,in,-56,40,48
677,ng,104,192,200
678,gs,400,496,488
679,st,-8,104,88
680,tu,-48,48,64
681,uc,72,152,168
682,ck,0,104,80
683,ka,96,192,200
684,al,72,168,168
685,li,-40,33,56
686,it,111,167,184
687,tl,176,280,232
688,tl,48,152,120
689,le,-40,64,64
690,eb,128,208,232
691,bi,-32,56,48
692,it,72,152,160
693,ti,112,216,192
694,in,-48,56,56
695,nt,216,288,320
696,tr,16,96,88
697,ry,0,64,80
698,yi,104,184,168
699,in,-40,32,40
700,ng,104,184,176
701,gt,96,200,176
702,to,-56,56,48
703,of,112,184,224
704,fi,-24,48,48
705,ig,112,208,184
706,gu,-48,48,48
707,ur,-32,16,64
708,re,96,192,144
709,eo,32,128,128
710,ou,-32,40,64
711,ut,104,184,176
712,tw,56,120,136
713,wh,16,80,80
714,ha,48,136,112
715,at,-16,64,72
716,ti,104,200,184
717,it,160,256,256
718,ty,-64,16,32
719,yp,24,112,104
720,pe,32,104,120
721,ei,616,688,688
722,in,96,192,168
723,nt,216,312,312
724,th,-48,32,48
725,hi,136,216,216
726,is,0,80,80
727,se,376,456,456
728,ep,384,512,464
729,pi,-56,32,72
730,is,128,216,216
731,so,96,200,184
732,od,0,56,104
733,de,104,192,160
734,ei,456,520,544
735,iw,688,776,752
736,wi,0,56,88
737,il,104,160,160
738,ld,607,663,663
739,ld,432,488,535
740,di,32,104,88
741,is,24,64,96
742,sc,113,169,153
743,cu,32,104,88
744,us,40,103,112
745,st,297,408,360
746,st,112,223,208
747,th,-64,104,47
748,er,111,176,143
749,hr,72,112,157
750,re,104,168,144
751,el,1,64,65
752,la,48,152,111
753,at,-32,33,72
754,ti,55,119,120
755,iv,80,169,144
756,ve,0,63,89
757,em,72,160,135
758,me,16,88,104
759,er,96,176,168
760,ri,32,104,112
761,it,128,209,200
762,ts,0,71,81
763,so,144,248,215
764,of,-40,32,64
765,fs,936,1016,1008
766,sl,56,136,136
767,le,32,96,112
768,ep,184,297,248
769,ep,22,135,120
770,pa,88,168,201
771,an,-8,72,72
772,nd,32,104,112
773,du,136,216,208
774,us,40,112,120
775,sl,24,104,96
776,le,24,80,104
777,ep,192,288,248
778,ep,0,96,120
779,pi,264,416,360
780,in,-64,56,88
781,np,1824,1840,1944
782,ph,633,704,649
783,ha,0,88,71
784,av,192,258,280
785,vi,102,182,168
786,in,-32,32,48
787,ng,112,192,176
788,gp,96,168,176
789,pr,0,72,72
790,ro,0,72,72
791,og,96,160,168
792,gr,112,192,176
793,ra,56,112,136
794,am,48,104,104
795,ms,56,112,112
796,sg,160,288,216
797,go,-72,64,56
798,ot,128,256,264
799,to,-80,24,48
800,ol,120,192,224
801,ls,344,432,416
802,sl,80,160,168
803,le,24,80,104
804,ep,192,264,248
805,ep,0,72,96
806,pf,328,408,400
807,fo,0,80,80
808,or,24,72,104
809,ra,160,248,208
810,as,112,168,200
811,sm,16,72,72
812,ma,48,272,104
813,la,240,8,296
814,al,80,168,224
815,la,64,136,152
816,am,0,80,72
817,mo,96,192,176
818,ou,-48,24,48
819,un,112,184,184
820,nt,120,200,192
821,to,80,168,160
822,of,0,56,88
823,ft,131,200,187
824,ti,112,200,181
825,im,-24,48,64
826,me,32,120,104
827,ei,520,591,608
828,if,393,457,464
829,fu,519,592,583
830,uo,-16,55,57
831,oy,577,664,648
832,yo,-31,152,56
833,ou,-48,48,135
834,us,176,256,272
835,us,-16,64,64
836,se,120,176,200
837,es,128,200,184
838,sl,-16,56,56
839,le,72,144,144
840,ep,152,240,224
841,ep,-24,64,63
842,pt,416,528,504
843,th,32,104,144
844,he,241,313,313
845,er,423,495,495
846,re,88,152,160
847,es,112,200,176
848,so,113,200,201
849,ol,72,152,159
850,lu,72,136,152
851,ut,112,184,176
852,ti,88,224,160
853,io,-80,16,56
854,on,-72,40,24
855,ni,80,168,192
856,is,0,96,88
857,so,72,193,168
858,on,-41,72,80
859,nl,0,96,113
860,ly,81,200,177
861,yi,1568,1664,1687
862,in,-56,56,40
863,ns,856,952,968
864,se,112,168,208
865,ec,104,176,160
866,co,24,128,96
867,on,-40,32,64
868,nd,0,64,72
869,ds,128,216,192
870,so,448,544,536
871,so,-24,72,88
872,oy,160,256,256
873,yo,-32,128,64
874,ou,-32,80,128
875,uc,72,136,184
876,ca,128,256,192
877,an,-64,16,64
878,nt,160,240,240
879,ts,34,104,114
880,sl,48,120,118
881,le,0,56,72
882,ep,176,248,232
883,ep,-8,64,88
884,pl,112,200,184
885,le,-16,56,72
886,es,312,360,384
887,st,264,336,312
888,st,96,168,168
889,th,-24,48,48
890,ha,40,128,112
891,an,0,80,88
892,n1,88,144,168
893,1s,208,296,264
894,se,320,384,408
895,se,120,184,184
896,eo,200,312,264
897,on,-56,32,56
898,nc,80,152,168
899,ce,1664,1736,1736
900,ec,120,192,192
901,co,64,176,136
902,on,-40,32,72
903,nd,80,168,152
904,di,536,624,624
905,if,112,200,200
906,fy,96,192,184
907,yo,-32,128,64
908,ou,-48,63,112
909,us,160,225,271
910,us,-24,41,71
911,se,96,191,161
912,eu,200,280,295
913,us,216,288,296
914,sl,33,96,105
915,le,64,145,127
916,ep,855,943,936
917,ep,88,176,184
918,pt,760,856,848
919,th,-47,81,49
920,he,-73,0,55
921,er,96,159,169
922,re,104,176,167
923,es,112,200,184
924,so,-32,48,56
925,ol,72,168,152
926,lu,40,112,136
927,ut,113,192,185
928,ti,96,264,175
929,io,-120,24,48
930,on,-72,32,72
931,ni,112,200,216
932,is,64,176,152
933,sm,713,810,825
934,mi,-49,47,48
935,is,24,134,120
936,sc,234,290,344
937,cr,120,192,176
938,ro,0,56,72
939,os,88,192,144
940,se,168,248,272
941,ec,120,192,200
942,co,296,408,368
943,on,-48,32,64
944,nd,16,96,96
945,d9,520,608,600
946,9s,496,560,584
947,sa,328,416,392
948,as,1024,1088,1112
949,as,96,160,184
950,se,128,184,192
951,ev,48,120,104
952,vi,120,200,192
953,id,16,80,96
954,de,112,184,176
955,en,-24,56,48
956,nc,72,184,152
957,ce,-24,72,88
958,ed,216,304,312
959,db,128,264,216
960,by,-88,32,48
961,yt,224,344,344
962,th,-80,48,40
963,he,-72,0,56
964,eu,136,208,208
965,up,1648,1720,1720
966,pr,-24,40,48
967,re,96,168,160
968,ef,104,160,176
969,fi,0,88,56
970,ix,48,96,136
971,x0,728,808,776
972,it,184,256,280
973,tw,664,752,736
974,wa,128,184,216
975,as,128,192,184
976,st,1377,1449,1441
977,th,104,176,176
978,he,1,72,73
979,eb,824,904,895
980,be,0,56,80
981,es,128,200,184
982,st,0,72,72
983,to,1416,1488,1488
984,of,208,272,280
985,ft,200,280,264
986,to,80,136,160
987,oi,2511,2583,2567
988,im,128,185,200
989,me,40,119,97
990,es,128,200,207
991,si,2096,2160,2168
992,it,208,280,272
993,tw,321,376,393
994,wa,128,176,183
995,as,128,208,176
996,st,152,224,232
997,th,104,168,176
998,he,16,88,80
999,ew,208,288,280
1000,wo,248,312,328
1001,or,72,152,136
1002,rs,144,216,224
1003,st,56,128,128
1004,to,1232,1296,1304
1005,of,240,312,304
1006,ft,192,264,264
1007,ti,72,128,144
1008,im,128,192,184
1009,me,24,88,88
1010,es,128,200,192
1011,si,2641,2705,2713
1012,it,224,280,288
1013,tw,328,400,384
1014,wa,128,168,200
1015,as,112,176,152
1016,st,1472,1544,1536
1017,th,120,176,192
1018,he,1,72,57
1019,ea,232,296,303
1020,ag,80,144,144
1021,ge,56,112,120
1022,eo,328,376,384
1023,of,168,240,216
1024,fw,248,312,320
1025,wi,256,328,320
1026,is,24,96,96
1027,sd,456,528,528
1028,do,48,120,120
1029,om,144,224,216
1030,mi,1511,1583,1591
1031,it,224,296,296
1032,tw,1017,1072,1089
1033,ws,288,352,343
1034,sa,1840,1888,1904
1035,as,136,200,184
1036,st,432,504,496
1037,th,160,184,232
1038,he,40,112,64
1039,ea,696,760,768
1040,ag,48,120,112
1041,ge,48,104,120
1042,eo,616,680,672
1043,of,224,296,288
1044,fo,1488,1560,1560
1045,fo,152,224,208
1046,ol,328,400,400
1047,ol,144,216,208
1048,li,152,224,224
1049,is,168,240,240
1050,sh,104,176,176
1051,hn,160,224,232
1052,ne,224,280,288
1053,es,184,224,240
1054,si,1961,2033,2001
1055,si,1760,1832,1825
1056,it,208,264,280
1057,tw,288,368,344
1058,wa,120,176,200
1059,as,128,192,184
1060,st,976,1048,1040
1061,th,120,184,192
1062,he,48,112,112
1063,ep,464,528,528
1064,ep,104,168,176
1065,po,120,192,184
1066,oc,240,336,312
1067,ch,120,200,216
1068,ho,984,1064,1064
1069,of,112,192,192
1070,fb,424,503,504
1071,be,48,113,127
1072,el,175,255,240
1073,li,121,208,201
1074,ie,32,96,119
1075,ef,240,296,304
1076,fi,1664,1728,1720
1077,it,184,232,248
1078,tw,288,368,336
1079,wa,136,192,216
1080,as,128,192,184
1081,st,808,880,872
1082,th,96,168,168
1083,he,0,72,72
1084,ep,400,456,472
1085,ep,144,200,208
1086,po,128,208,184
1087,oc,96,160,176
1088,ch,424,496,488
1089,ho,1384,1456,1456
1090,of,440,496,512
1091,fi,352,408,408
1092,in,152,232,208
1093,nc,120,192,200
1094,cr,1633,1713,1705
1095,re,24,88,104
1096,ed,2640,2704,2704
1097,du,16,80,80
1098,ul,203,272,267
1099,li,128,192,197
1100,it,200,280,264
1101,ty,80,160,160
1102,yi,1191,1263,1271
1103,it,184,256,256
1104,tw,280,368,352
1105,wa,128,176,216
1106,as,136,192,184
1107,st,736,807,792
1108,th,121,185,192
1109,he,1,79,65
1110,es,200,288,278
1111,se,105,177,193
1112,ea,144,191,216
1113,as,145,200,192
1114,so,88,136,143
1115,on,177,224,225
1116,no,1064,1112,1111
1117,of,112,176,160
1118,fl,448,544,512
1119,li,128,200,224
1120,ig,80,152,152
1121,gh,64,144,136
1122,ht,0,72,80
1123,ti,2032,2104,2104
1124,it,144,208,216
1125,tw,936,1000,1000
1126,wa,128,168,192
1127,as,120,184,160
1128,st,744,824,808
1129,th,104,176,184
1130,he,-32,40,40
1131,es,192,240,264
1132,se,120,184,168
1133,ea,128,184,192
1134,as,120,176,176
1135,so,56,112,112
1136,on,152,216,208
1137,no,1001,1065,1065
1138,of,96,160,160
1139,fd,656,728,720
1140,da,144,208,216
1141,ar,112,168,176
1142,rk,528,608,584
1143,kn,136,200,216
1144,ne,0,64,64
1145,es,128,192,192
1146,si,1880,1960,1944
1147,si,1672,1752,1744
1148,it,160,232,240
1149,tw,1016,1088,1088
1150,wa,136,199,208
1151,as,121,177,184
1152,st,976,1047,1032
1153,th,113,177,184
1154,he,-32,40,32
1155,es,263,327,335
1156,sp,96,169,160
1157,pr,655,735,728
1158,ri,41,104,121
1159,in,160,224,223
1160,ng,64,136,128
1161,go,832,912,904
1162,of,248,320,328
1163,fh,304,352,376
1164,ho,169,232,217
1165,op,112,200,175
1166,pe,1,88,89
1167,ei,1480,1552,1567
1168,it,312,392,384
1169,tw,256,328,336
1170,wa,136,184,208
1171,as,136,208,184
1172,st,1576,1656,1648
1173,th,112,168,192
1174,he,-54,24,2
1175,ew,328,392,406
1176,wi,72,136,136
1177,in,160,224,224
1178,nt,168,248,232
1179,te,0,80,80
1180,er,112,184,192
1181,ro,1145,1233,1217
1182,of,136,200,224
1183,fs,416,464,480
1184,sd,456,528,504
1185,de,104,168,176
1186,es,112,184,176
1187,sp,240,304,312
1188,pa,32,96,96
1189,ai,672,728,736
1190,ir,88,160,144
1191,rw,1584,1672,1656
1192,we,104,176,192
1193,eh,1032,1104,1104
1194,ha,0,80,72
1195,ad,120,184,200
1196,de,231,295,295
1197,ev,57,104,121
1198,ve,25,96,72
1199,er,121,192,192
1200,ry,72,128,143
1201,yt,120,192,176
1202,th,96,168,168
1203,hi,128,200,200
1204,in,144,208,216
1205,ng,48,120,112
1206,gb,1376,1456,1448
1207,be,24,96,104
1208,ef,169,241,241
1209,fo,87,151,159
1210,or,49,113,113
1211,re,111,199,175
1212,eu,200,264,288
1213,us,24,96,88
1214,sw,1376,1456,1448
1215,we,113,184,193
1216,eh,984,1048,1055
1217,ha,32,88,96
1218,ad,128,184,184
1219,dn,304,360,360
1220,no,176,240,232
1221,ot,280,352,344
1222,th,128,200,200
1223,hi,136,192,208
1224,in,136,208,192
1225,ng,56,120,128
1226,gb,1873,1945,1937
1227,be,24,96,96
1228,ef,168,248,240
1229,fo,80,152,160
1230,or,56,136,128
1231,re,112,192,192
1232,eu,240,304,320
1233,us,32,104,96
1234,sw,3360,3408,3432
1235,we,112,168,160
1236,ew,201,256,257
1237,we,160,216,215
1238,er,48,112,104
1239,re,40,104,104
1240,ea,928,991,992
1241,al,161,224,224
1242,lg,504,568,567
1243,lg,319,383,392
1244,go,65,128,129
1245,oi,136,208,199
1246,in,144,216,216
1247,ng,96,168,168
1248,gd,1160,1224,1232
1249,di,192,256,256
1250,ir,224,296,288
1251,re,16,88,88
1252,ec,128,176,200
1253,ct,104,176,152
1254,to,960,1024,1032
1255,to,0,64,88
1256,oh,552,624,616
1257,he,248,312,320
1258,ea,152,216,216
1259,av,136,200,200
1260,ve,32,96,96
