,digraph,inter-key,uut,ddt
231,i2,378,463,448
232,23,91,176,176
233,au,76,171,191
234,ut,212,292,307
235,tr,76,181,156
236,ru,151,232,256
237,uc,55,141,136
238,ch,91,176,177
239,he,91,161,176
240,ki,111,181,196
241,ik,106,201,176
242,ki,86,172,181
243,i2,377,458,463
244,23,95,186,176
245,au,160,241,251
246,ut,191,282,272
247,tr,116,201,207
248,ru,71,151,156
249,uc,86,162,166
250,ch,69,160,145
251,he,106,201,197
252,ki,75,156,157
253,ik,282,440,363
254,ki,153,234,311
255,i2,502,544,583
256,23,115,196,157
257,au,75,194,157
258,ut,192,235,311
259,tr,114,195,157
260,ru,37,157,118
261,uc,82,163,202
262,ch,75,157,156
263,he,114,195,196
264,ki,101,181,197
265,ik,136,212,216
266,ki,96,191,172
267,i2,543,659,638
268,23,141,242,257
269,au,161,252,286
270,ut,171,266,262
271,tr,91,176,186
272,ru,81,166,166
273,uc,66,171,151
274,ch,31,131,136
275,he,91,190,191
276,ki,97,175,179
277,ik,102,192,180
278,ki,83,157,173
279,i2,389,418,463
280,23,91,177,120
281,au,121,212,226
282,ut,202,297,293
283,tr,85,180,180
284,ru,152,227,247
285,uc,81,176,156
286,ch,91,176,186
287,he,71,166,156
288,ki,106,181,195
289,ik,110,201,185
290,ki,86,161,177
291,i2,368,453,443
292,23,81,186,166
293,au,182,267,278
294,ut,166,256,251
295,tr,81,161,171
296,ru,81,167,161
297,uc,85,151,171
298,ch,50,141,116
299,he,126,201,217
300,ki,96,166,176
301,ik,111,207,181
302,ki,81,146,177
303,i2,317,402,382
304,23,96,182,181
305,au,55,131,171
306,ut,186,276,262
307,tr,96,177,186
308,ru,70,140,151
309,uc,61,182,131
310,ch,10,95,131
311,he,91,202,176
312,ki,90,166,181
313,ik,121,211,197
314,ki,81,156,171
315,i2,362,427,437
316,23,96,177,161
317,au,56,141,151
318,ut,468,548,553
319,tr,46,146,126
320,ru,81,151,181
321,uc,91,162,161
322,ch,75,140,146
323,he,101,186,166
324,ki,106,192,201
325,ik,146,216,232
326,ki,111,191,181
327,i2,286,397,366
328,23,111,217,222
329,au,80,175,196
330,ut,192,292,287
331,tr,86,172,186
332,ru,70,161,156
333,uc,65,141,156
334,ch,80,166,156
335,he,55,176,141
336,ki,109,182,194
337,ik,140,210,213
338,ki,121,192,191
339,i2,327,438,398
340,23,116,232,227
341,au,91,176,212
342,ut,162,242,247
343,tr,111,211,191
344,ru,76,161,176
345,uc,66,157,151
346,ch,50,145,141
347,he,111,217,206
348,ki,90,181,196
349,ik,106,181,197
350,ki,101,181,176
351,i2,337,427,417
352,23,86,202,176
353,au,163,257,279
354,ut,197,277,291
355,tr,70,171,150
356,ru,191,282,292
357,uc,639,735,730
358,ch,70,161,166
359,he,101,206,192
360,ki,106,176,191
361,ik,121,216,191
362,ki,111,181,206
363,i2,313,418,383
364,23,106,225,211
365,au,101,191,217
366,ut,222,318,312
367,tr,220,311,316
368,ru,735,825,826
369,uc,86,171,176
370,ch,101,192,186
371,he,50,151,141
372,ki,86,176,177
373,ik,131,217,221
374,ki,106,166,192
375,i2,287,383,347
376,23,126,226,222
377,au,136,221,227
378,ut,152,267,237
379,tr,91,176,206
380,ru,65,161,150
381,uc,81,181,177
382,ch,31,116,131
383,he,111,202,196
384,ki,112,172,197
385,ik,132,192,192
386,ki,136,196,196
387,i2,338,423,398
388,23,94,161,179
389,au,66,161,187
390,ut,176,241,271
391,tr,71,166,136
392,ru,116,191,211
393,uc,106,197,181
394,ch,101,181,192
395,he,362,462,442
396,ki,80,166,181
397,ik,101,176,187
398,ki,91,176,166
399,i2,374,464,459
400,23,76,157,166
401,au,101,202,205
402,ut,181,266,282
403,tr,267,358,352
404,ru,91,171,182
405,uc,71,166,151
406,ch,36,131,131
407,he,85,181,180
408,ki,91,171,192
409,ik,106,196,186
410,ki,65,161,155
411,i2,428,529,524
412,23,101,201,202
413,au,257,348,347
414,ut,221,306,312
415,tr,86,161,171
416,ru,91,176,166
417,uc,76,141,161
418,ch,51,141,116
419,he,71,156,161
420,ki,101,176,181
421,ik,146,236,221
422,ki,101,248,191
423,i2,483,609,630
424,23,79,205,205
425,au,121,222,231
426,ut,156,266,257
427,tr,121,192,231
428,ru,96,186,167
429,uc,90,186,180
430,ch,20,116,116
431,he,101,211,197
432,ki,92,165,186
433,ik,113,195,186
434,ki,96,156,178
435,i2,363,443,423
436,23,86,171,166
437,au,318,408,403
438,ut,308,408,398
439,tr,111,196,211
440,ru,136,217,221
441,uc,91,186,172
442,ch,86,171,181
443,he,61,141,146
444,ki,114,195,195
445,ik,114,157,195
446,ki,114,195,157
447,i2,424,505,505
448,23,76,158,157
449,au,76,157,157
450,ut,230,311,311
451,tr,76,157,157
452,ru,463,544,544
453,uc,114,163,195
454,ch,114,196,163
455,he,75,156,157
456,ki,96,181,201
457,ik,126,186,211
458,ki,106,187,166
459,i2,299,387,380
460,23,101,207,189
461,au,156,257,276
462,ut,177,227,278
463,tr,221,341,271
464,ru,111,202,231
465,uc,71,171,162
466,ch,46,137,146
467,he,115,221,206
468,ki,86,167,181
469,ik,95,186,176
470,ki,80,156,171
471,i2,348,424,424
472,23,80,176,156
473,au,56,151,167
474,ut,191,231,286
475,tr,-32,5,8
476,ru,1646,1731,1683
477,uc,106,202,191
478,ch,25,110,121
479,he,96,197,181
480,ki,111,187,211
481,ik,111,206,187
482,ki,106,181,201
483,i2,322,382,397
484,23,111,192,171
485,au,162,252,267
486,ut,272,348,362
487,tr,106,186,182
488,ru,65,150,145
489,uc,126,226,211
490,ch,81,162,181
491,he,80,181,161
492,ki,90,156,181
493,ik,90,171,156
494,ki,80,151,161
495,i2,341,427,412
496,23,76,156,162
497,au,136,216,232
498,ut,156,241,236
499,tr,66,156,151
500,ru,111,192,201
501,uc,85,176,166
502,ch,61,141,152
503,he,116,216,196
504,ki,91,172,186
505,ik,105,200,186
506,ki,86,171,181
507,i2,353,428,438
508,23,96,182,171
509,au,131,216,217
510,ut,187,264,272
511,tr,45,151,122
512,ru,116,191,222
513,uc,126,212,201
514,ch,151,231,237
515,he,46,146,126
516,ki,86,171,171
517,ik,96,176,181
518,ki,86,161,166
519,i2,539,620,614
520,23,76,167,157
521,au,131,207,236
522,ut,160,256,236
523,tr,76,171,172
524,ru,86,176,181
525,uc,101,197,191
526,ch,55,141,151
527,he,95,211,181
528,ki,86,171,186
529,ik,106,197,191
530,ki,86,162,177
531,i2,388,468,464
532,23,86,186,166
533,au,96,181,212
534,ut,177,282,262
535,tr,91,187,196
536,ru,70,155,166
537,uc,121,222,206
538,ch,70,161,171
539,he,111,206,202
540,ki,114,195,195
541,ik,114,195,195
542,ki,114,196,195
543,i2,406,487,488
544,23,76,196,157
545,au,114,196,195
546,ut,268,350,350
547,tr,75,156,157
548,ru,76,157,157
549,uc,114,163,195
550,ch,76,157,125
551,he,115,196,196
552,ki,86,177,181
553,ik,101,196,192
554,ki,86,171,181
555,i2,378,463,463
556,23,86,182,171
557,au,120,210,215
558,ut,182,282,272
559,tr,111,202,211
560,ru,50,141,141
561,uc,81,191,172
562,ch,51,143,161
563,he,101,191,193
564,ki,101,191,182
565,ik,126,216,216
566,ki,96,182,186
567,i2,302,392,388
568,23,121,227,211
569,au,91,182,171
570,ut,232,282,323
571,tr,101,191,151
572,ru,81,171,171
573,uc,61,141,151
574,ch,61,151,141
575,he,106,207,196
576,ki,100,171,190
577,ik,126,201,197
578,ki,111,181,186
579,i2,368,413,438
580,23,1091,1162,1136
581,au,125,210,211
582,ut,162,262,247
583,tr,91,171,191
584,ru,51,131,131
585,uc,106,197,186
586,ch,55,140,146
587,he,81,186,166
588,ki,96,176,181
589,ik,122,212,202
590,ki,91,176,181
591,i2,442,528,527
592,23,101,191,187
593,au,121,216,191
594,ut,156,247,251
595,tr,80,166,171
596,ru,65,146,151
597,uc,86,171,167
598,ch,71,156,156
599,he,91,185,176
600,ki,121,227,221
601,ik,105,190,211
602,ki,100,171,185
603,i2,755,856,826
604,23,111,206,212
605,au,111,212,216
606,ut,186,267,287
607,tr,90,171,171
608,ru,76,171,157
609,uc,131,236,226
610,ch,36,136,141
611,he,91,186,191
612,ki,126,216,227
613,ik,101,197,191
614,ki,85,171,181
615,i2,321,427,407
616,23,83,176,189
617,au,68,159,159
618,ut,232,307,323
619,tr,80,176,155
620,ru,151,237,247
621,uc,94,166,180
622,ch,67,146,139
623,he,106,191,185
624,ki,106,181,192
625,ik,116,211,191
626,ki,91,161,186
627,i2,353,413,423
628,23,81,167,141
629,au,81,166,187
630,ut,176,262,261
631,tr,106,181,192
632,ru,61,141,136
633,uc,101,191,181
634,ch,76,156,166
635,he,91,181,171
636,ki,91,166,187
637,ik,126,207,201
638,ki,96,176,177
639,i2,282,387,362
640,23,106,217,211
641,au,156,246,272
642,ut,202,287,292
643,tr,71,196,156
644,ru,56,136,181
645,uc,91,197,171
646,ch,20,110,126
647,he,106,222,196
648,ki,96,176,191
649,ik,126,217,206
650,ki,101,186,192
651,i2,378,483,463
652,23,96,207,201
653,au,121,207,231
654,ut,226,322,312
655,tr,91,176,187
656,ru,61,146,146
657,uc,121,242,206
658,ch,25,115,146
659,he,121,217,211
660,ki,91,172,181
661,ik,126,186,207
662,ki,110,176,170
663,i2,373,483,439
664,23,343,428,453
665,au,56,156,182
666,ut,368,468,468
667,tr,51,151,151
668,ru,156,201,256
669,uc,418,509,463
670,ch,76,176,167
671,he,94,171,194
672,ki,107,193,197
673,ik,96,181,182
674,ki,96,176,181
675,i2,343,460,423
676,23,64,155,181
677,au,322,397,413
678,ut,182,272,257
679,tr,86,171,176
680,ru,76,162,161
681,uc,70,155,156
682,ch,41,126,126
683,he,76,172,161
684,ki,115,194,186
685,ik,133,193,212
686,ki,126,197,186
687,i2,327,418,398
688,23,955,1056,1046
689,au,211,307,332
690,ut,166,232,262
691,tr,75,171,141
692,ru,1222,1317,1318
693,uc,126,212,221
694,ch,60,156,146
695,he,96,196,192
696,ki,101,171,191
697,ik,131,221,201
698,ki,86,161,176
699,i2,317,403,392
700,23,91,186,177
701,au,70,141,181
702,ut,166,252,237
703,tr,100,171,186
704,ru,76,150,147
705,uc,96,167,170
706,ch,80,151,151
707,he,96,181,167
708,ki,106,187,191
709,ik,121,196,202
710,ki,91,172,166
711,i2,276,377,357
712,23,111,217,212
713,au,111,191,216
714,ut,202,298,282
715,tr,95,200,191
716,ru,111,191,216
717,uc,121,212,201
718,ch,86,171,177
719,he,106,207,191
720,ki,101,161,191
721,ik,137,212,197
722,ki,101,176,176
723,i2,357,402,432
724,23,101,191,146
725,au,66,156,167
726,ut,236,321,326
727,tr,91,177,176
728,ru,65,141,151
729,uc,90,166,166
730,ch,106,191,182
731,he,40,141,125
732,ki,101,171,206
733,ik,121,196,191
734,ki,137,171,212
735,i2,378,453,412
736,23,86,172,161
737,au,290,356,396
738,ut,156,196,222
739,tr,981,1052,1021
740,ru,252,342,323
741,uc,71,156,161
742,ch,116,217,201
743,he,45,141,146
744,ki,111,182,211
745,ik,115,205,186
746,ki,96,167,186
747,i2,1172,1257,1243
748,23,107,207,192
749,au,338,428,458
750,ut,151,241,241
751,tr,91,182,181
752,ru,176,261,267
753,uc,101,192,186
754,ch,60,151,151
755,he,114,181,205
756,ki,114,195,195
757,ik,115,196,196
758,ki,114,195,195
759,i2,734,815,815
760,23,76,157,157
761,au,114,195,195
762,ut,191,273,272
763,tr,75,156,157
764,ru,153,234,234
765,uc,82,163,163
766,ch,114,196,195
767,he,75,157,157
768,ki,95,166,185
769,ik,116,186,187
770,ki,101,176,171
771,i2,403,484,478
772,23,95,165,176
773,au,116,186,222
774,ut,186,261,256
775,tr,86,177,161
776,ru,85,161,176
777,uc,95,181,171
778,ch,55,136,141
779,he,136,227,217
780,ki,88,169,169
781,ik,114,196,195
782,ki,114,195,196
783,i2,462,544,543
784,23,75,157,157
785,au,307,427,389
786,ut,230,311,350
787,tr,115,196,196
788,ru,75,157,156
789,uc,114,195,196
790,ch,75,195,156
791,he,114,196,234
792,ki,95,186,186
793,ik,116,227,207
794,ki,346,422,457
795,i2,766,862,842
796,23,106,211,202
797,au,241,321,331
798,ut,222,293,302
799,tr,95,196,166
800,ru,71,161,172
801,uc,81,156,171
802,ch,60,156,135
803,he,86,191,182
804,ki,96,181,197
805,ik,106,206,191
806,ki,96,172,196
807,i2,369,480,445
808,23,75,158,186
809,au,120,206,229
810,ut,192,285,278
811,tr,67,167,160
812,ru,115,165,215
813,uc,99,184,149
814,ch,32,101,117
815,he,127,198,196
816,ki,81,166,184
817,ik,122,209,207
818,ki,79,166,166
819,i2,486,531,573
820,23,96,193,141
821,au,219,308,251
822,ut,226,327,315
823,tr,91,186,192
824,ru,57,131,152
825,uc,71,201,145
826,ch,11,97,141
827,he,130,241,216
828,ki,75,169,169
829,ik,114,196,208
830,ki,114,195,196
831,i2,501,582,582
832,23,76,157,157
833,au,76,196,195
834,ut,153,234,273
835,tr,75,157,156
836,ru,47,167,129
837,uc,76,157,196
838,ch,76,157,157
839,he,114,195,195
840,ki,105,181,200
841,ik,116,192,192
842,ki,110,191,186
843,i2,366,452,447
844,23,96,181,182
845,au,182,282,277
846,ut,378,458,478
847,tr,61,161,141
848,ru,111,191,211
849,uc,151,237,231
850,ch,100,181,186
851,he,71,166,152
852,ki,110,171,206
853,ik,121,206,182
854,ki,86,166,171
855,i2,348,433,428
856,23,71,166,156
857,au,159,259,259
858,ut,216,312,316
859,tr,589,669,685
860,ru,185,252,265
861,uc,126,207,193
862,ch,55,146,136
863,he,126,191,217
864,ki,91,171,156
865,ik,127,192,207
866,ki,126,206,191
867,i2,327,393,407
868,23,80,165,146
869,au,111,192,206
870,ut,185,255,266
871,tr,61,152,131
872,ru,116,191,207
873,uc,106,176,181
874,ch,86,171,156
875,he,81,176,166
876,ki,132,222,207
877,ik,106,191,196
878,ki,81,167,166
879,i2,423,498,509
880,23,101,191,176
881,au,85,176,181
882,ut,141,231,232
883,tr,85,181,175
884,ru,136,232,232
885,uc,70,155,166
886,ch,66,157,151
887,he,50,141,141
888,ki,106,182,206
889,ik,106,196,182
890,ki,86,162,176
891,i2,402,482,478
892,23,81,172,161
893,au,181,282,286
894,ut,136,192,237
895,tr,236,332,292
896,ru,865,960,961
897,uc,288,388,383
898,ch,56,146,156
899,he,86,197,176
900,ki,114,195,196
901,ik,114,195,195
902,ki,114,157,195
903,i2,462,544,505
904,23,75,182,157
905,au,152,234,233
906,ut,230,311,312
907,tr,462,544,543
908,ru,114,195,196
909,uc,114,157,195
910,ch,75,157,118
911,he,114,195,196
912,ki,100,181,191
913,ik,101,191,182
914,ki,91,172,181
915,i2,331,412,412
916,23,101,201,182
917,au,110,196,221
918,ut,186,256,272
919,tr,66,146,136
920,ru,116,197,196
921,uc,86,196,167
922,ch,90,176,200
923,he,65,156,151
924,le,72,168,144
925,eg,369,439,465
926,gu,194,265,264
927,ue,129,192,200
928,en,97,168,160
929,nn,89,159,160
930,ne,107,193,177
931,ec,73,144,159
932,ta,73,167,144
933,ag,58,128,152
934,ga,73,145,143
935,at,41,120,113
936,ts,137,200,216
937,so,298,408,361
938,oi,-31,56,79
939,in,193,272,280
940,le,105,200,192
941,eg,153,240,248
942,gu,161,240,248
943,ue,146,233,225
944,en,96,167,183
945,nn,82,160,153
946,ne,90,193,168
947,ec,97,168,200
948,ta,78,184,141
949,ag,41,120,147
950,ga,90,168,169
951,at,33,113,111
952,ts,104,192,184
953,so,184,335,272
954,oi,-39,40,112
955,in,162,233,241
956,le,90,184,161
957,eg,274,353,368
958,gu,217,289,296
959,ue,184,255,256
960,en,217,273,288
961,nn,105,160,161
962,ne,104,192,159
963,ec,673,744,761
964,ta,113,200,185
965,ag,106,184,193
966,ga,57,144,135
967,at,73,152,160
968,ts,161,232,240
969,so,233,369,304
970,oi,-56,40,80
971,in,176,248,272
972,le,65,153,144
973,eg,240,311,328
974,gu,193,264,264
975,ue,106,184,177
976,en,97,176,175
977,nn,90,161,169
978,ne,96,192,167
979,ec,105,168,201
980,ta,96,191,167
981,ag,66,136,161
982,ga,74,145,144
983,at,56,128,127
984,ts,129,208,201
985,so,337,472,416
986,oi,-63,40,72
987,in,189,240,292
988,le,81,183,159
989,eg,162,241,264
990,gu,169,240,248
991,ue,105,176,176
992,en,97,168,168
993,nn,65,161,136
994,ne,104,200,200
995,ec,32,112,128
996,ta,82,161,152
997,ag,41,127,120
998,ga,65,145,151
999,at,25,104,105
1000,ts,113,184,192
1001,so,202,368,273
1002,oi,-39,48,127
1003,in,186,264,273
1004,le,81,168,152
1005,eg,273,344,360
1006,gu,177,249,248
1007,ue,120,207,192
1008,en,105,161,192
1009,nn,89,175,145
1010,ne,106,193,192
1011,ec,81,152,168
1012,ta,57,152,136
1013,ag,74,152,169
1014,ga,89,185,167
1015,at,80,151,176
1016,ts,74,185,145
1017,so,257,376,368
1018,oi,-39,56,80
1019,in,176,256,271
1020,le,105,177,168
1021,eg,168,239,240
1022,gu,178,248,249
1023,ue,98,169,168
1024,en,128,200,199
1025,nn,104,184,176
1026,ne,114,184,194
1027,ec,113,184,183
1028,ta,97,176,169
1029,ag,73,144,152
1030,ga,56,136,127
1031,at,73,144,153
1032,ts,105,176,176
1033,so,217,400,288
1034,oi,-71,56,112
1035,in,169,240,296
1036,le,81,161,152
1037,eg,193,264,273
1038,gu,177,256,248
1039,ue,105,184,184
1040,en,89,152,168
1041,nn,89,160,152
1042,ne,97,168,168
1043,ec,89,177,160
1044,ta,88,183,168
1045,ag,41,120,136
1046,ga,69,136,148
1047,at,50,120,117
1048,ts,156,224,226
1049,so,217,352,285
1050,oi,-39,56,96
1051,in,177,265,272
1052,le,112,184,184
1053,eg,185,248,257
1054,gu,177,248,240
1055,ue,144,240,215
1056,en,90,152,186
1057,nn,89,168,151
1058,ne,97,200,176
1059,ec,89,160,192
1060,ta,112,200,183
1061,ag,49,120,137
1062,ga,89,168,160
1063,at,65,136,144
1064,ts,105,184,176
1065,so,185,320,264
1066,oi,-62,48,73
1067,in,186,257,296
1068,le,106,184,169
1069,eg,234,305,312
1070,gu,193,280,264
1071,ue,129,208,216
1072,en,113,185,192
1073,nn,80,160,152
1074,ne,144,223,224
1075,ec,121,192,200
1076,ta,105,192,176
1077,ag,65,144,152
1078,ga,89,185,168
1079,at,72,135,168
1080,ts,130,217,193
1081,so,272,425,359
1082,oi,-41,55,112
1083,in,201,279,297
1084,ba,4,99,81
1085,as,-69,35,26
1086,st,59,130,163
1087,ta,-34,71,37
1088,ar,29,101,134
1089,rd,2,104,74
1090,bl,188,258,259
1091,la,24,129,94
1092,ac,89,191,194
1093,ck,12,117,114
1094,k0,60,201,165
1095,00,-35,176,106
1096,0s,38,141,249
1097,ba,-41,100,35
1098,as,-36,70,105
1099,st,37,105,143
1100,ta,-28,71,40
1101,ar,81,153,180
1102,rd,2,70,74
1103,bl,391,462,461
1104,la,94,199,165
1105,ac,170,274,275
1106,ck,137,213,241
1107,k0,159,475,235
1108,00,-35,177,281
1109,0s,119,210,331
1110,ba,4,141,108
1111,as,-35,70,102
1112,st,6,125,111
1113,ta,3,94,122
1114,ar,3,72,94
1115,rd,3,68,72
1116,bl,49,154,152
1117,la,6,113,111
1118,ac,111,182,218
1119,ck,60,130,131
1120,k0,63,244,133
1121,00,-70,140,111
1122,0s,69,180,279
1123,ba,5,114,74
1124,as,-45,63,64
1125,st,3,68,111
1126,ta,9,71,74
1127,ar,5,73,67
1128,rd,20,125,88
1129,bl,82,152,185
1130,la,115,220,185
1131,ac,178,281,283
1132,ck,159,227,262
1133,k0,136,348,204
1134,00,-70,140,142
1135,0s,93,196,303
1136,ba,-5,78,77
1137,as,-42,78,41
1138,st,-41,44,79
1139,ta,-6,76,79
1140,ar,3,82,85
1141,rd,-6,38,73
1142,bl,113,192,202
1143,la,38,119,117
1144,ac,112,193,193
1145,ck,3,110,84
1146,k0,3,156,110
1147,00,-42,156,111
1148,0s,37,157,235
1149,ba,3,176,72
1150,as,-107,35,66
1151,st,3,71,145
1152,ta,3,106,71
1153,ar,9,70,112
1154,rd,3,68,64
1155,bl,20,125,125
1156,la,5,109,110
1157,ac,127,235,231
1158,ck,20,89,128
1159,k0,57,232,126
1160,00,-71,141,104
1161,0s,34,175,246
1162,ba,2,104,110
1163,as,3,107,105
1164,st,2,33,106
1165,ta,8,113,39
1166,ar,3,107,108
1167,rd,3,105,107
1168,bl,109,180,215
1169,la,56,161,127
1170,ac,119,261,224
1171,ck,8,78,150
1172,k0,193,473,263
1173,00,-35,141,245
1174,0s,103,207,279
1175,ba,38,167,79
1176,as,-90,6,39
1177,st,-49,35,47
1178,ta,38,119,122
1179,ar,-43,40,38
1180,rd,37,117,120
1181,bl,36,79,117
1182,la,74,155,117
1183,ac,228,308,309
1184,ck,37,79,117
1185,k0,37,233,79
1186,00,-43,155,153
1187,0s,37,157,235
1188,ba,-45,76,39
1189,as,-82,40,39
1190,st,3,82,125
1191,ta,-6,76,73
1192,ar,3,82,85
1193,rd,-6,77,73
1194,bl,37,116,117
1195,la,38,119,117
1196,ac,113,231,194
1197,ck,3,79,121
1198,k0,3,195,79
1199,00,-81,155,111
1200,0s,41,162,277
1201,ba,3,133,77
1202,as,-70,45,60
1203,st,3,68,118
1204,ta,4,140,69
1205,ar,-36,36,100
1206,rd,26,134,98
1207,bl,897,930,965
1208,la,59,165,92
1209,ac,157,262,263
1210,ck,121,188,226
1211,k0,100,382,167
1212,00,-34,143,248
1213,0s,79,182,256
1214,ba,18,157,94
1215,as,-37,69,102
1216,st,29,135,135
1217,ta,1,68,107
1218,ar,47,82,114
1219,rd,19,125,54
1220,bl,89,160,190
1221,la,43,140,114
1222,ac,101,242,198
1223,ck,12,83,153
1224,k0,206,559,277
1225,00,-36,141,317
1226,0s,176,280,353
1227,ba,16,193,86
1228,as,-70,34,107
1229,st,54,123,158
1230,ta,-38,106,31
1231,ar,2,70,146
1232,rd,4,69,72
1233,bl,53,158,159
1234,la,31,101,136
1235,ac,155,262,225
1236,ck,344,414,451
1237,k0,47,259,117
1238,00,-72,140,140
1239,0s,71,184,283
1240,ba,2,109,109
1241,as,-41,35,66
1242,st,3,72,79
1243,ta,2,104,71
1244,ar,2,70,104
1245,rd,24,93,92
1246,bl,350,429,432
1247,la,15,133,94
1248,ac,198,275,316
1249,ck,74,141,151
1250,k0,190,435,257
1251,00,-35,141,210
1252,0s,349,457,525
1253,ba,-43,79,38
1254,as,-43,78,79
1255,st,-42,44,79
1256,ta,-6,115,80
1257,ar,-42,43,79
1258,rd,-6,76,79
1259,bl,37,116,118
1260,la,38,118,117
1261,ac,113,193,193
1262,ck,4,111,84
1263,k0,3,195,110
1264,00,-81,159,111
1265,0s,-123,113,117
1266,ba,3,70,107
1267,as,-35,72,32
1268,st,2,78,109
