,digraph,inter-key,uut,ddt,userNo
271,tr,91,176,186,112
272,ru,81,166,166,112
273,uc,66,171,151,112
274,ch,31,131,136,112
275,he,91,190,191,112
276,ki,97,175,179,112
277,ik,102,192,180,112
278,ki,83,157,173,112
279,i2,389,418,463,112
280,23,91,177,120,112
281,au,121,212,226,112
282,ut,202,297,293,112
283,tr,85,180,180,112
284,ru,152,227,247,112
285,uc,81,176,156,112
286,ch,91,176,186,112
287,he,71,166,156,112
288,ki,106,181,195,112
289,ik,110,201,185,112
290,ki,86,161,177,112
291,i2,368,453,443,112
292,23,81,186,166,112
293,au,182,267,278,112
294,ut,166,256,251,112
295,tr,81,161,171,112
296,ru,81,167,161,112
297,uc,85,151,171,112
298,ch,50,141,116,112
299,he,126,201,217,112
300,ki,96,166,176,112
301,ik,111,207,181,112
302,ki,81,146,177,112
303,i2,317,402,382,112
304,23,96,182,181,112
305,au,55,131,171,112
306,ut,186,276,262,112
307,tr,96,177,186,112
308,ru,70,140,151,112
309,uc,61,182,131,112
310,ch,10,95,131,112
311,he,91,202,176,112
312,ki,90,166,181,112
313,ik,121,211,197,112
314,ki,81,156,171,112
315,i2,362,427,437,112
316,23,96,177,161,112
317,au,56,141,151,112
318,ut,468,548,553,112
319,tr,46,146,126,112
320,ru,81,151,181,112
321,uc,91,162,161,112
322,ch,75,140,146,112
323,he,101,186,166,112
324,ki,106,192,201,112
325,ik,146,216,232,112
326,ki,111,191,181,112
327,i2,286,397,366,112
328,23,111,217,222,112
329,au,80,175,196,112
330,ut,192,292,287,112
331,tr,86,172,186,112
332,ru,70,161,156,112
333,uc,65,141,156,112
334,ch,80,166,156,112
335,he,55,176,141,112
336,ki,109,182,194,112
337,ik,140,210,213,112
338,ki,121,192,191,112
339,i2,327,438,398,112
340,23,116,232,227,112
341,au,91,176,212,112
342,ut,162,242,247,112
343,tr,111,211,191,112
344,ru,76,161,176,112
345,uc,66,157,151,112
346,ch,50,145,141,112
347,he,111,217,206,112
348,ki,90,181,196,112
349,ik,106,181,197,112
350,ki,101,181,176,112
351,i2,337,427,417,112
352,23,86,202,176,112
353,au,163,257,279,112
354,ut,197,277,291,112
355,tr,70,171,150,112
356,ru,191,282,292,112
357,uc,639,735,730,112
358,ch,70,161,166,112
359,he,101,206,192,112
360,ki,106,176,191,112
361,ik,121,216,191,112
362,ki,111,181,206,112
363,i2,313,418,383,112
364,23,106,225,211,112
365,au,101,191,217,112
366,ut,222,318,312,112
367,tr,220,311,316,112
368,ru,735,825,826,112
369,uc,86,171,176,112
370,ch,101,192,186,112
371,he,50,151,141,112
372,ki,86,176,177,112
373,ik,131,217,221,112
374,ki,106,166,192,112
375,i2,287,383,347,112
376,23,126,226,222,112
377,au,136,221,227,112
378,ut,152,267,237,112
379,tr,91,176,206,112
380,ru,65,161,150,112
381,uc,81,181,177,112
382,ch,31,116,131,112
383,he,111,202,196,112
384,ki,112,172,197,112
385,ik,132,192,192,112
386,ki,136,196,196,112
387,i2,338,423,398,112
388,23,94,161,179,112
389,au,66,161,187,112
390,ut,176,241,271,112
391,tr,71,166,136,112
392,ru,116,191,211,112
393,uc,106,197,181,112
394,ch,101,181,192,112
395,he,362,462,442,112
396,ki,80,166,181,112
397,ik,101,176,187,112
398,ki,91,176,166,112
399,i2,374,464,459,112
400,23,76,157,166,112
401,au,101,202,205,112
402,ut,181,266,282,112
403,tr,267,358,352,112
404,ru,91,171,182,112
405,uc,71,166,151,112
406,ch,36,131,131,112
407,he,85,181,180,112
408,ki,91,171,192,112
409,ik,106,196,186,112
410,ki,65,161,155,112
411,i2,428,529,524,112
412,23,101,201,202,112
413,au,257,348,347,112
414,ut,221,306,312,112
415,tr,86,161,171,112
416,ru,91,176,166,112
417,uc,76,141,161,112
418,ch,51,141,116,112
419,he,71,156,161,112
420,ki,101,176,181,112
421,ik,146,236,221,112
422,ki,101,248,191,112
423,i2,483,609,630,112
424,23,79,205,205,112
425,au,121,222,231,112
426,ut,156,266,257,112
427,tr,121,192,231,112
428,ru,96,186,167,112
429,uc,90,186,180,112
430,ch,20,116,116,112
431,he,101,211,197,112
432,ki,92,165,186,112
433,ik,113,195,186,112
434,ki,96,156,178,112
435,i2,363,443,423,112
436,23,86,171,166,112
437,au,318,408,403,112
438,ut,308,408,398,112
439,tr,111,196,211,112
440,ru,136,217,221,112
441,uc,91,186,172,112
442,ch,86,171,181,112
443,he,61,141,146,112
444,ki,114,195,195,112
445,ik,114,157,195,112
446,ki,114,195,157,112
447,i2,424,505,505,112
448,23,76,158,157,112
449,au,76,157,157,112
450,ut,230,311,311,112
451,tr,76,157,157,112
452,ru,463,544,544,112
453,uc,114,163,195,112
454,ch,114,196,163,112
455,he,75,156,157,112
456,ki,96,181,201,112
457,ik,126,186,211,112
458,ki,106,187,166,112
459,i2,299,387,380,112
460,23,101,207,189,112
461,au,156,257,276,112
462,ut,177,227,278,112
463,tr,221,341,271,112
464,ru,111,202,231,112
465,uc,71,171,162,112
466,ch,46,137,146,112
467,he,115,221,206,112
468,ki,86,167,181,112
469,ik,95,186,176,112
470,ki,80,156,171,112
471,i2,348,424,424,112
472,23,80,176,156,112
473,au,56,151,167,112
474,ut,191,231,286,112
475,tr,-32,5,8,112
476,ru,1646,1731,1683,112
477,uc,106,202,191,112
478,ch,25,110,121,112
479,he,96,197,181,112
480,ki,111,187,211,112
481,ik,111,206,187,112
482,ki,106,181,201,112
483,i2,322,382,397,112
484,23,111,192,171,112
485,au,162,252,267,112
486,ut,272,348,362,112
487,tr,106,186,182,112
488,ru,65,150,145,112
489,uc,126,226,211,112
490,ch,81,162,181,112
491,he,80,181,161,112
492,ki,90,156,181,112
493,ik,90,171,156,112
494,ki,80,151,161,112
495,i2,341,427,412,112
496,23,76,156,162,112
497,au,136,216,232,112
498,ut,156,241,236,112
499,tr,66,156,151,112
500,ru,111,192,201,112
501,uc,85,176,166,112
502,ch,61,141,152,112
503,he,116,216,196,112
504,ki,91,172,186,112
505,ik,105,200,186,112
506,ki,86,171,181,112
507,i2,353,428,438,112
508,23,96,182,171,112
509,au,131,216,217,112
510,ut,187,264,272,112
511,tr,45,151,122,112
512,ru,116,191,222,112
513,uc,126,212,201,112
514,ch,151,231,237,112
515,he,46,146,126,112
516,ki,86,171,171,112
517,ik,96,176,181,112
518,ki,86,161,166,112
519,i2,539,620,614,112
520,23,76,167,157,112
521,au,131,207,236,112
522,ut,160,256,236,112
523,tr,76,171,172,112
524,ru,86,176,181,112
525,uc,101,197,191,112
526,ch,55,141,151,112
527,he,95,211,181,112
528,ki,86,171,186,112
529,ik,106,197,191,112
530,ki,86,162,177,112
531,i2,388,468,464,112
532,23,86,186,166,112
533,au,96,181,212,112
534,ut,177,282,262,112
535,tr,91,187,196,112
536,ru,70,155,166,112
537,uc,121,222,206,112
538,ch,70,161,171,112
539,he,111,206,202,112
540,ki,114,195,195,112
541,ik,114,195,195,112
542,ki,114,196,195,112
543,i2,406,487,488,112
544,23,76,196,157,112
545,au,114,196,195,112
546,ut,268,350,350,112
547,tr,75,156,157,112
548,ru,76,157,157,112
549,uc,114,163,195,112
550,ch,76,157,125,112
551,he,115,196,196,112
552,ki,86,177,181,112
553,ik,101,196,192,112
554,ki,86,171,181,112
555,i2,378,463,463,112
556,23,86,182,171,112
557,au,120,210,215,112
558,ut,182,282,272,112
559,tr,111,202,211,112
560,ru,50,141,141,112
561,uc,81,191,172,112
562,ch,51,143,161,112
563,he,101,191,193,112
564,ki,101,191,182,112
565,ik,126,216,216,112
566,ki,96,182,186,112
567,i2,302,392,388,112
568,23,121,227,211,112
569,au,91,182,171,112
570,ut,232,282,323,112
571,tr,101,191,151,112
572,ru,81,171,171,112
573,uc,61,141,151,112
574,ch,61,151,141,112
575,he,106,207,196,112
576,ki,100,171,190,112
577,ik,126,201,197,112
578,ki,111,181,186,112
579,i2,368,413,438,112
580,23,1091,1162,1136,112
581,au,125,210,211,112
582,ut,162,262,247,112
583,tr,91,171,191,112
584,ru,51,131,131,112
585,uc,106,197,186,112
586,ch,55,140,146,112
587,he,81,186,166,112
588,ki,96,176,181,112
589,ik,122,212,202,112
590,ki,91,176,181,112
591,i2,442,528,527,112
592,23,101,191,187,112
593,au,121,216,191,112
594,ut,156,247,251,112
595,tr,80,166,171,112
596,ru,65,146,151,112
597,uc,86,171,167,112
598,ch,71,156,156,112
599,he,91,185,176,112
600,ki,121,227,221,112
601,ik,105,190,211,112
602,ki,100,171,185,112
603,i2,755,856,826,112
604,23,111,206,212,112
605,au,111,212,216,112
606,ut,186,267,287,112
607,tr,90,171,171,112
608,ru,76,171,157,112
609,uc,131,236,226,112
610,ch,36,136,141,112
611,he,91,186,191,112
612,ki,126,216,227,112
613,ik,101,197,191,112
614,ki,85,171,181,112
615,i2,321,427,407,112
616,23,83,176,189,112
617,au,68,159,159,112
618,ut,232,307,323,112
619,tr,80,176,155,112
620,ru,151,237,247,112
621,uc,94,166,180,112
622,ch,67,146,139,112
623,he,106,191,185,112
624,ki,106,181,192,112
625,ik,116,211,191,112
626,ki,91,161,186,112
627,i2,353,413,423,112
628,23,81,167,141,112
629,au,81,166,187,112
630,ut,176,262,261,112
631,tr,106,181,192,112
632,ru,61,141,136,112
633,uc,101,191,181,112
634,ch,76,156,166,112
635,he,91,181,171,112
636,ki,91,166,187,112
637,ik,126,207,201,112
638,ki,96,176,177,112
639,i2,282,387,362,112
640,23,106,217,211,112
641,au,156,246,272,112
642,ut,202,287,292,112
643,tr,71,196,156,112
644,ru,56,136,181,112
645,uc,91,197,171,112
646,ch,20,110,126,112
647,he,106,222,196,112
648,ki,96,176,191,112
649,ik,126,217,206,112
650,ki,101,186,192,112
651,i2,378,483,463,112
652,23,96,207,201,112
653,au,121,207,231,112
654,ut,226,322,312,112
655,tr,91,176,187,112
656,ru,61,146,146,112
657,uc,121,242,206,112
658,ch,25,115,146,112
659,he,121,217,211,112
660,ki,91,172,181,112
661,ik,126,186,207,112
662,ki,110,176,170,112
663,i2,373,483,439,112
664,23,343,428,453,112
665,au,56,156,182,112
666,ut,368,468,468,112
667,tr,51,151,151,112
668,ru,156,201,256,112
669,uc,418,509,463,112
670,ch,76,176,167,112
671,he,94,171,194,112
672,ki,107,193,197,112
673,ik,96,181,182,112
674,ki,96,176,181,112
675,i2,343,460,423,112
676,23,64,155,181,112
677,au,322,397,413,112
678,ut,182,272,257,112
679,tr,86,171,176,112
680,ru,76,162,161,112
681,uc,70,155,156,112
682,ch,41,126,126,112
683,he,76,172,161,112
684,ki,115,194,186,112
685,ik,133,193,212,112
686,ki,126,197,186,112
687,i2,327,418,398,112
688,23,955,1056,1046,112
689,au,211,307,332,112
690,ut,166,232,262,112
691,tr,75,171,141,112
692,ru,1222,1317,1318,112
693,uc,126,212,221,112
694,ch,60,156,146,112
695,he,96,196,192,112
696,ki,101,171,191,112
697,ik,131,221,201,112
698,ki,86,161,176,112
699,i2,317,403,392,112
700,23,91,186,177,112
701,au,70,141,181,112
702,ut,166,252,237,112
703,tr,100,171,186,112
704,ru,76,150,147,112
705,uc,96,167,170,112
706,ch,80,151,151,112
707,he,96,181,167,112
708,ki,106,187,191,112
709,ik,121,196,202,112
710,ki,91,172,166,112
711,i2,276,377,357,112
712,23,111,217,212,112
713,au,111,191,216,112
714,ut,202,298,282,112
715,tr,95,200,191,112
716,ru,111,191,216,112
717,uc,121,212,201,112
718,ch,86,171,177,112
719,he,106,207,191,112
720,ki,101,161,191,112
721,ik,137,212,197,112
722,ki,101,176,176,112
723,i2,357,402,432,112
724,23,101,191,146,112
725,au,66,156,167,112
726,ut,236,321,326,112
727,tr,91,177,176,112
728,ru,65,141,151,112
729,uc,90,166,166,112
730,ch,106,191,182,112
731,he,40,141,125,112
732,ki,101,171,206,112
733,ik,121,196,191,112
734,ki,137,171,212,112
735,i2,378,453,412,112
736,23,86,172,161,112
737,au,290,356,396,112
738,ut,156,196,222,112
739,tr,981,1052,1021,112
740,ru,252,342,323,112
741,uc,71,156,161,112
742,ch,116,217,201,112
743,he,45,141,146,112
744,ki,111,182,211,112
745,ik,115,205,186,112
746,ki,96,167,186,112
747,i2,1172,1257,1243,112
748,23,107,207,192,112
749,au,338,428,458,112
750,ut,151,241,241,112
751,tr,91,182,181,112
752,ru,176,261,267,112
753,uc,101,192,186,112
754,ch,60,151,151,112
755,he,114,181,205,112
756,ki,114,195,195,112
757,ik,115,196,196,112
758,ki,114,195,195,112
759,i2,734,815,815,112
760,23,76,157,157,112
761,au,114,195,195,112
762,ut,191,273,272,112
763,tr,75,156,157,112
764,ru,153,234,234,112
765,uc,82,163,163,112
766,ch,114,196,195,112
767,he,75,157,157,112
768,ki,95,166,185,112
769,ik,116,186,187,112
770,ki,101,176,171,112
771,i2,403,484,478,112
772,23,95,165,176,112
773,au,116,186,222,112
774,ut,186,261,256,112
775,tr,86,177,161,112
776,ru,85,161,176,112
777,uc,95,181,171,112
778,ch,55,136,141,112
779,he,136,227,217,112
780,ki,88,169,169,112
781,ik,114,196,195,112
782,ki,114,195,196,112
783,i2,462,544,543,112
784,23,75,157,157,112
785,au,307,427,389,112
786,ut,230,311,350,112
787,tr,115,196,196,112
788,ru,75,157,156,112
789,uc,114,195,196,112
790,ch,75,195,156,112
791,he,114,196,234,112
792,ki,95,186,186,112
793,ik,116,227,207,112
794,ki,346,422,457,112
795,i2,766,862,842,112
796,23,106,211,202,112
797,au,241,321,331,112
798,ut,222,293,302,112
799,tr,95,196,166,112
800,ru,71,161,172,112
801,uc,81,156,171,112
802,ch,60,156,135,112
803,he,86,191,182,112
804,ki,96,181,197,112
805,ik,106,206,191,112
806,ki,96,172,196,112
807,i2,369,480,445,112
808,23,75,158,186,112
809,au,120,206,229,112
810,ut,192,285,278,112
811,tr,67,167,160,112
812,ru,115,165,215,112
813,uc,99,184,149,112
814,ch,32,101,117,112
815,he,127,198,196,112
816,ki,81,166,184,112
817,ik,122,209,207,112
818,ki,79,166,166,112
819,i2,486,531,573,112
820,23,96,193,141,112
821,au,219,308,251,112
822,ut,226,327,315,112
823,tr,91,186,192,112
824,ru,57,131,152,112
825,uc,71,201,145,112
826,ch,11,97,141,112
827,he,130,241,216,112
828,ki,75,169,169,112
829,ik,114,196,208,112
830,ki,114,195,196,112
831,i2,501,582,582,112
832,23,76,157,157,112
833,au,76,196,195,112
834,ut,153,234,273,112
835,tr,75,157,156,112
836,ru,47,167,129,112
837,uc,76,157,196,112
838,ch,76,157,157,112
839,he,114,195,195,112
840,ki,105,181,200,112
841,ik,116,192,192,112
842,ki,110,191,186,112
843,i2,366,452,447,112
844,23,96,181,182,112
845,au,182,282,277,112
846,ut,378,458,478,112
847,tr,61,161,141,112
848,ru,111,191,211,112
849,uc,151,237,231,112
850,ch,100,181,186,112
851,he,71,166,152,112
852,ki,110,171,206,112
853,ik,121,206,182,112
854,ki,86,166,171,112
855,i2,348,433,428,112
856,23,71,166,156,112
857,au,159,259,259,112
858,ut,216,312,316,112
859,tr,589,669,685,112
860,ru,185,252,265,112
861,uc,126,207,193,112
862,ch,55,146,136,112
863,he,126,191,217,112
864,ki,91,171,156,112
865,ik,127,192,207,112
866,ki,126,206,191,112
867,i2,327,393,407,112
868,23,80,165,146,112
869,au,111,192,206,112
870,ut,185,255,266,112
871,tr,61,152,131,112
872,ru,116,191,207,112
873,uc,106,176,181,112
874,ch,86,171,156,112
875,he,81,176,166,112
876,ki,132,222,207,112
877,ik,106,191,196,112
878,ki,81,167,166,112
879,i2,423,498,509,112
880,23,101,191,176,112
881,au,85,176,181,112
882,ut,141,231,232,112
883,tr,85,181,175,112
884,ru,136,232,232,112
885,uc,70,155,166,112
886,ch,66,157,151,112
887,he,50,141,141,112
888,ki,106,182,206,112
889,ik,106,196,182,112
890,ki,86,162,176,112
891,i2,402,482,478,112
892,23,81,172,161,112
893,au,181,282,286,112
894,ut,136,192,237,112
895,tr,236,332,292,112
896,ru,865,960,961,112
897,uc,288,388,383,112
898,ch,56,146,156,112
899,he,86,197,176,112
900,ki,114,195,196,112
901,ik,114,195,195,112
902,ki,114,157,195,112
903,i2,462,544,505,112
904,23,75,182,157,112
905,au,152,234,233,112
906,ut,230,311,312,112
907,tr,462,544,543,112
908,ru,114,195,196,112
909,uc,114,157,195,112
910,ch,75,157,118,112
911,he,114,195,196,112
912,ki,100,181,191,112
913,ik,101,191,182,112
914,ki,91,172,181,112
915,i2,331,412,412,112
916,23,101,201,182,112
917,au,110,196,221,112
918,ut,186,256,272,112
919,tr,66,146,136,112
920,ru,116,197,196,112
921,uc,86,196,167,112
922,ch,90,176,200,112
923,he,65,156,151,112
924,le,72,168,144,124
925,eg,369,439,465,124
926,gu,194,265,264,124
927,ue,129,192,200,124
928,en,97,168,160,124
929,nn,89,159,160,124
930,ne,107,193,177,124
931,ec,73,144,159,124
932,ta,73,167,144,124
933,ag,58,128,152,124
934,ga,73,145,143,124
935,at,41,120,113,124
936,ts,137,200,216,124
937,so,298,408,361,124
938,oi,-31,56,79,124
939,in,193,272,280,124
940,le,105,200,192,124
941,eg,153,240,248,124
942,gu,161,240,248,124
943,ue,146,233,225,124
944,en,96,167,183,124
945,nn,82,160,153,124
946,ne,90,193,168,124
947,ec,97,168,200,124
948,ta,78,184,141,124
949,ag,41,120,147,124
950,ga,90,168,169,124
951,at,33,113,111,124
952,ts,104,192,184,124
953,so,184,335,272,124
954,oi,-39,40,112,124
955,in,162,233,241,124
956,le,90,184,161,124
957,eg,274,353,368,124
958,gu,217,289,296,124
959,ue,184,255,256,124
960,en,217,273,288,124
961,nn,105,160,161,124
962,ne,104,192,159,124
963,ec,673,744,761,124
964,ta,113,200,185,124
965,ag,106,184,193,124
966,ga,57,144,135,124
967,at,73,152,160,124
968,ts,161,232,240,124
969,so,233,369,304,124
970,oi,-56,40,80,124
971,in,176,248,272,124
972,le,65,153,144,124
973,eg,240,311,328,124
974,gu,193,264,264,124
975,ue,106,184,177,124
976,en,97,176,175,124
977,nn,90,161,169,124
978,ne,96,192,167,124
979,ec,105,168,201,124
980,ta,96,191,167,124
981,ag,66,136,161,124
982,ga,74,145,144,124
983,at,56,128,127,124
984,ts,129,208,201,124
985,so,337,472,416,124
986,oi,-63,40,72,124
987,in,189,240,292,124
988,le,81,183,159,124
989,eg,162,241,264,124
990,gu,169,240,248,124
991,ue,105,176,176,124
992,en,97,168,168,124
993,nn,65,161,136,124
994,ne,104,200,200,124
995,ec,32,112,128,124
996,ta,82,161,152,124
997,ag,41,127,120,124
998,ga,65,145,151,124
999,at,25,104,105,124
1000,ts,113,184,192,124
1001,so,202,368,273,124
1002,oi,-39,48,127,124
1003,in,186,264,273,124
1004,le,81,168,152,124
1005,eg,273,344,360,124
1006,gu,177,249,248,124
1007,ue,120,207,192,124
1008,en,105,161,192,124
1009,nn,89,175,145,124
1010,ne,106,193,192,124
1011,ec,81,152,168,124
1012,ta,57,152,136,124
1013,ag,74,152,169,124
1014,ga,89,185,167,124
1015,at,80,151,176,124
1016,ts,74,185,145,124
1017,so,257,376,368,124
1018,oi,-39,56,80,124
1019,in,176,256,271,124
1020,le,105,177,168,124
1021,eg,168,239,240,124
1022,gu,178,248,249,124
1023,ue,98,169,168,124
1024,en,128,200,199,124
1025,nn,104,184,176,124
1026,ne,114,184,194,124
1027,ec,113,184,183,124
1028,ta,97,176,169,124
1029,ag,73,144,152,124
1030,ga,56,136,127,124
1031,at,73,144,153,124
1032,ts,105,176,176,124
1033,so,217,400,288,124
1034,oi,-71,56,112,124
1035,in,169,240,296,124
1036,le,81,161,152,124
1037,eg,193,264,273,124
1038,gu,177,256,248,124
1039,ue,105,184,184,124
1040,en,89,152,168,124
1041,nn,89,160,152,124
1042,ne,97,168,168,124
1043,ec,89,177,160,124
1044,ta,88,183,168,124
1045,ag,41,120,136,124
1046,ga,69,136,148,124
1047,at,50,120,117,124
1048,ts,156,224,226,124
1049,so,217,352,285,124
1050,oi,-39,56,96,124
1051,in,177,265,272,124
1052,le,112,184,184,124
1053,eg,185,248,257,124
1054,gu,177,248,240,124
1055,ue,144,240,215,124
1056,en,90,152,186,124
1057,nn,89,168,151,124
1058,ne,97,200,176,124
1059,ec,89,160,192,124
1060,ta,112,200,183,124
1061,ag,49,120,137,124
1062,ga,89,168,160,124
1063,at,65,136,144,124
1064,ts,105,184,176,124
1065,so,185,320,264,124
1066,oi,-62,48,73,124
1067,in,186,257,296,124
1068,le,106,184,169,124
1069,eg,234,305,312,124
1070,gu,193,280,264,124
1071,ue,129,208,216,124
1072,en,113,185,192,124
1073,nn,80,160,152,124
1074,ne,144,223,224,124
1075,ec,121,192,200,124
1076,ta,105,192,176,124
1077,ag,65,144,152,124
1078,ga,89,185,168,124
1079,at,72,135,168,124
1080,ts,130,217,193,124
1081,so,272,425,359,124
1082,oi,-41,55,112,124
1083,in,201,279,297,124
1084,ba,4,99,81,123
1085,as,-69,35,26,123
